Statistic,High,Player,Opponent
AT BATS,6,Niko Takayesu,Anderson University (3/15/2015)
RUNS SCORED,3,Sam Galanek; Anthony Mack; Graham Fisher,Simpson College (3/26/2015); Monmouth College (4/2/2015); Cornell College (4/18/2015); Knox College (4/26/2015); Illinois College (5/2/2015)
HITS,5,Anthony Mack,Anderson University (3/15/2015)
RBIS,5,Sam Galanek; Graham Fisher; Anthony Mack,Simpson College (3/26/2015); Monmouth College (4/2/2015); Knox College (4/26/2015); Illinois College (5/2/2015)
DOUBLES,2,Graham Fisher; Matt Hammond,Franklin & Marshall (3/16/2015); WashU (4/11/2015); WashU (4/12/2015); Knox College (4/27/2015)
TRIPLES,1,Anth. Mack; Anthony Mack; Teague Towner,Simpson College (3/26/2015); Knox College (4/26/2015); Illinois College (5/2/2015); Anderson University (3/15/2015); WashU (4/11/2015)
HOME RUNS,3,Sam Galanek,Simpson College (3/26/2015)
WALKS,4,Walker Bell,Monmouth College (4/4/2015)
STRIKEOUTS,3,Ryan Penaflor; Graham Fisher; Matt Hammond,Monmouth College (4/2/2015); Simpson College (4/7/2015); Augustana (4/15/2015); Cornell College (4/17/2015)
SAC HITS,3,Teague Towner,Cornell College (4/18/2015)
SAC FLIES,2,Anthony Mack,Knox College (4/26/2015)
STOLEN BASES,2,Anthony Mack; Yuki Kawahara; Ryan Penaflor,Monmouth College (4/2/2015); Knox College (4/27/2015); Cornell College (5/8/2015)
HIT BY PITCH,2,Godinsky; Walker Bell,Simpson College (3/26/2015); Monmouth College (4/2/2015)
CAUGHT STEALING,1,Takayesu; Ryan Penaflor; Bell; Anthony Mack; Yuki Kawahara,Franklin & Marshall (3/16/2015); Hope College (3/17/2015); Central College (3/25/2015); Anderson University (3/15/2015); Monmouth College (4/4/2015)
HIT INTO DP,1,Towner; Fisher; Penaflor; Slattery; Walker Bell,Franklin & Marshall (3/16/2015); Ripon College (3/20/2015); Central College (3/25/2015); Simpson College (3/26/2015); Monmouth College (4/2/2015)
