#,Player,ERA,WHIP,W-L,APP-GS,CG,SHO,SV,IP,H,R,ER,BB,SO,2B,3B,HR,AB,B/AVG,WP,HBP,BK,SFA,SHA,Bio Link
9.0,"Sales, Ian 9Sales, Ian",2.89,1.11,5-1,9-7,3,2-0,0,46.2,41,15,15,11,26,6,1,1,172,0.238,0,3,3,1,1,View Bio
10.0,"Fisher, Graham 10Fisher, Graham",3.41,1.23,4-5,10-9,2,1-0,0,63.1,63,36,24,15,53,9,0,5,241,0.261,1,5,0,2,7,View Bio
28.0,"Tinkham, Sam 28Tinkham, Sam",3.55,1.53,4-3,11-8,1,0-0,1,58.1,63,36,23,26,58,11,1,4,237,0.266,9,5,0,3,3,View Bio
30.0,"Mack, Andrew 30Mack, Andrew",3.81,1.41,2-3,7-7,3,0-0,0,49.2,57,29,21,13,27,10,1,2,196,0.291,4,4,1,2,6,View Bio
2.0,"Brown, Ryan 2Brown, Ryan",0.0,6.0,0-0,1-0,0,0-0,0,0.1,1,1,0,1,0,1,0,0,2,0.5,0,0,0,0,0,View Bio
4.0,"Annerino, Michael 4Annerino, Michael",5.14,2.0,1-1,14-0,0,0-0,1,14.0,20,14,8,8,10,0,0,3,62,0.323,1,0,1,2,1,View Bio
7.0,"Essig, John 7Essig, John",8.77,1.83,2-3,14-2,0,0-0,3,25.2,35,29,25,12,21,6,2,4,108,0.324,4,6,0,3,3,View Bio
35.0,"Mathews, Noah 35 Mathews, Noah",9.58,2.39,0-3,9-4,1,0-0,0,31.0,57,34,33,17,12,6,2,3,140,0.407,5,1,0,1,3,View Bio
11.0,"Lopez, Sam 11Lopez, Sam",11.25,2.5,0-0,3-0,0,0-0,0,4.0,10,8,5,0,2,0,0,1,21,0.476,0,0,0,0,1,View Bio
42.0,"Binversie, Ben 42 Binversie, Ben",12.79,3.47,0-0,7-0,0,0-0,0,6.1,18,14,9,4,4,5,1,1,38,0.474,6,0,0,0,0,View Bio
,Totals,4.87,1.58,18-19,85-37,10,3,5,299.1,365,216,162,107,213,54,8,24,1217,0.3,30,24,5,14,25,
,Opponents,5.04,1.62,19-18,104-37,3,1,5,303.1,352,215,170,139,199,59,5,25,1196,0.294,22,35,4,10,39,
