#,Player,AVG,OPS,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB-ATT,Bio Link
10.0,"Fisher, Graham 10 Fisher, Graham",0.368,1.076,36-36,114,25,42,11,0,7,31,74,0.649,10,4,23,3,0.427,3,1,2-2,View Bio
36.0,"Hammond, Matt 36 Hammond, Matt",0.352,0.945,34-32,122,23,43,9,0,4,28,64,0.525,14,1,27,1,0.42,1,1,3-4,View Bio
17.0,"Mack, Anthony 17 Mack, Anthony",0.345,0.978,36-36,142,35,49,11,4,4,25,80,0.563,16,3,20,0,0.415,3,2,13-14,View Bio
29.0,"Penaflor, Ryan 29 Penaflor, Ryan",0.32,0.732,36-33,125,21,40,4,0,0,10,44,0.352,8,4,14,2,0.38,0,9,2-3,View Bio
5.0,"Bell, Walker 5 Bell, Walker",0.3,0.74,35-35,120,19,36,6,0,0,12,42,0.35,15,4,26,0,0.39,2,6,1-2,View Bio
12.0,"Godinsky, Matt 12 Godinsky, Matt",0.247,0.851,33-33,97,15,24,2,0,6,16,44,0.454,16,8,19,2,0.397,0,3,1-2,View Bio
44.0,"Slattery, Michael 44 Slattery, Michael",0.233,0.624,36-34,103,14,24,4,0,0,11,28,0.272,15,4,13,6,0.352,0,1,2-2,View Bio
8.0,"Towner, Teague 8 Towner, Teague",0.219,0.522,33-32,105,12,23,1,1,0,11,26,0.248,7,1,12,3,0.274,0,9,1-2,View Bio
31.0,"Galanek, Sam 31 Galanek, Sam",0.382,1.025,26-12,55,9,21,2,0,3,13,32,0.582,6,0,7,1,0.443,0,0,1-1,View Bio
3.0,"Kawahara, Yuki 3 Kawahara, Yuki",0.382,1.092,15-11,34,9,13,3,0,1,8,19,0.559,11,0,7,0,0.533,0,2,9-12,View Bio
15.0,"Takayesu, Niko 15 Takayesu, Niko",0.245,0.649,26-26,102,15,25,6,0,0,8,31,0.304,13,3,10,1,0.345,1,2,6-7,View Bio
18.0,"Petritis, Steven 18 Petritis, Steven",0.18,0.421,23-12,50,7,9,0,0,0,10,9,0.18,4,0,12,1,0.241,0,2,2-2,View Bio
13.0,"Klar, Coby 13 Klar, Coby",0.167,0.453,17-1,6,5,1,0,0,0,1,1,0.167,0,1,3,0,0.286,0,0,1-1,View Bio
16.0,"Voelker, Ross 16 Voelker, Ross",0.143,0.543,7-5,14,4,2,0,0,0,4,2,0.143,4,2,2,0,0.4,0,1,1-1,View Bio
6.0,"Bernholtz, Jacob 6 Bernholtz, Jacob",0.0,0.0,7-1,4,2,0,0,0,0,0,0,0.0,0,0,2,0,0.0,0,0,1-1,View Bio
27.0,"Weaver, Brad 27 Weaver, Brad",0.0,0.0,3-0,2,0,0,0,0,0,0,0,0.0,0,0,1,0,0.0,0,0,0-0,View Bio
21.0,"Anderson, Tyler 21 Anderson, Tyler",0.0,0.0,1-0,1,0,0,0,0,0,0,0,0.0,0,0,1,0,0.0,0,0,0-0,View Bio
,Totals,0.294,0.796,37-37,1196,215,352,59,5,25,188,496,0.415,139,35,199,20,0.381,10,39,46-56,
,Opponents,0.3,0.781,37-37,1217,216,365,54,8,24,189,507,0.417,107,24,213,22,0.364,14,25,22-31,
