Date,Loc,Opponent,W/L,Score,IP,H,R,ER,BB,SO,2B,3B,HR,WP,BK,HBP,IBB,W,L,SV,ERA
3/15/2015,vs,Anderson University,W,11-3,9.0,8,3,3,3,10,2,0,1,0,0,1,0,1,0,0,3.0
3/16/2015,vs,Franklin & Marshall,L,0-12,7.0,13,12,5,4,3,2,0,1,1,1,0,0,1,1,0,6.43
3/16/2015,vs,Franklin & Marshall,L,5-10,6.0,11,10,8,3,3,4,0,0,1,0,2,0,1,2,0,12.0
3/17/2015,vs,Hope College,L,2-9,6.0,10,9,9,3,5,3,1,0,1,0,3,0,1,3,0,13.5
3/17/2015,vs,Hope College,L,4-6,7.0,10,6,5,3,4,0,0,0,0,0,0,0,1,4,0,6.43
3/18/2015,vs,St. Norbert College,L,2-8,9.0,12,8,8,3,10,0,1,1,0,0,0,0,1,5,0,8.0
3/20/2015,vs,Ripon College,W,8-3,9.0,11,3,1,1,12,1,0,0,0,0,1,0,2,5,0,1.0
3/21/2015,vs,Univ. of St. Thomas,L,5-10,7.0,11,10,5,6,6,4,0,0,3,0,2,0,2,6,0,6.43
3/21/2015,vs,Univ. of St. Thomas,L,4-9,6.0,11,9,9,2,2,1,2,2,0,0,2,0,2,7,0,13.5
3/22/2015,vs,UW-Oshkosh,L,3-5,8.0,8,5,3,2,5,1,1,0,0,0,0,0,2,8,0,3.38
3/25/2015,vs,Central College,W,9-8,9.0,7,8,5,7,10,2,0,0,1,0,1,0,3,8,0,5.0
3/26/2015,,Simpson College,W,9-1,9.0,5,1,1,0,8,1,0,1,0,0,0,0,4,8,0,1.0
4/2/2015,,Monmouth College,L,5-9,9.0,15,9,7,2,12,3,0,2,4,0,1,0,4,9,0,7.0
4/2/2015,,Monmouth College,W,15-14,9.0,19,14,6,7,12,4,0,3,2,0,1,0,5,9,0,6.0
4/4/2015,at,Monmouth College,L,1-2,8.0,6,2,0,0,5,0,0,0,0,0,1,0,5,10,0,0.0
4/4/2015,at,Monmouth College,W,3-1,9.0,4,1,1,2,6,0,0,0,0,1,0,0,6,10,0,1.0
4/7/2015,at,Simpson College,L,4-5,8.1,9,5,5,5,4,0,1,0,0,0,0,0,6,11,0,5.4
4/11/2015,at,WashU,W,4-2,9.0,8,2,2,5,4,1,0,0,0,0,1,0,7,11,0,2.0
4/11/2015,at,WashU,W,7-2,9.0,9,2,2,7,3,1,0,0,1,0,2,0,8,11,0,2.0
4/12/2015,at,WashU,L,5-7,8.1,14,7,7,1,4,3,0,1,0,1,0,0,8,12,0,7.56
4/12/2015,at,WashU,W,4-0,7.0,5,0,0,1,2,0,0,0,0,0,0,0,9,12,0,0.0
4/15/2015,at,Augustana,L,5-15,8.0,19,15,12,4,2,1,1,0,4,0,1,0,9,13,0,13.5
4/17/2015,at,Cornell College,L,3-4,8.0,9,4,4,3,8,1,0,0,0,0,1,0,9,14,0,4.5
4/17/2015,at,Cornell College,L,1-5,8.0,12,5,5,2,6,1,1,1,2,0,0,0,9,15,0,5.63
4/18/2015,,Cornell College,W,11-1,8.0,9,1,0,2,4,0,0,0,1,0,0,0,10,15,0,0.0
4/18/2015,,Cornell College,W,3-2,5.2,6,2,2,2,2,1,0,0,0,0,0,0,11,15,0,3.18
4/26/2015,,Knox College,W,5-3,9.0,5,3,1,3,9,0,0,1,0,0,1,0,12,15,0,1.0
4/26/2015,,Knox College,W,14-1,7.0,2,1,0,2,7,2,0,0,0,0,0,0,13,15,0,0.0
4/27/2015,at,Knox College,W,11-10,9.0,15,10,7,4,4,2,0,1,0,0,0,0,14,15,0,7.0
4/27/2015,at,Knox College,W,10-2,9.0,8,2,2,6,5,0,0,0,0,1,2,0,15,15,0,2.0
4/29/2015,at,Coe College,L,5-14,8.0,19,14,11,1,2,3,0,2,2,0,0,0,15,16,0,12.38
5/2/2015,,Illinois College,W,12-0,7.0,2,0,0,0,4,0,0,0,0,0,0,0,16,16,0,0.0
5/2/2015,,Illinois College,L,5-8,9.0,12,8,6,2,12,1,0,1,2,0,0,0,16,17,0,6.0
5/3/2015,at,Illinois College,W,7-6,9.0,10,6,3,2,5,3,0,1,3,0,0,0,17,17,0,3.0
5/3/2015,at,Illinois College,W,6-0,9.0,5,0,0,1,4,1,0,0,0,1,0,0,18,17,0,0.0
5/8/2015,,St. Norbert College,L,3-11,9.0,13,11,9,3,5,1,0,3,1,0,0,0,18,18,0,9.0
5/8/2015,at,Cornell College,L,4-8,8.0,13,8,8,3,4,4,0,2,1,0,1,0,18,19,0,9.0
Total,,,,215-216,298.4,365,216,162,107,213,54,8,24,30,5,24,0,18,19,0,
