#,Player,ERA,WHIP,W-L,APP-GS,CG,SHO,SV,IP,H,R,ER,BB,SO,2B,3B,HR,AB,B/AVG,WP,HBP,BK,SFA,SHA,Bio Link
7.0,"Essig, John 7Essig, John",0.0,0.89,1-0,6-0,0,0-0,2,9.0,4,1,0,4,11,0,0,0,31,0.129,3,1,0,1,1,View Bio
9.0,"Sales, Ian 9Sales, Ian",1.52,1.03,4-0,4-4,2,1-0,0,29.2,23,5,5,7,15,2,0,0,106,0.217,0,2,3,1,1,View Bio
30.0,"Mack, Andrew 30Mack, Andrew",2.08,1.36,2-1,4-4,2,0-0,0,30.1,33,13,7,8,16,3,0,2,118,0.28,3,1,0,2,2,View Bio
10.0,"Fisher, Graham 10Fisher, Graham",3.07,1.2,2-2,4-4,2,1-0,0,29.1,28,14,10,7,29,4,0,2,110,0.255,0,2,0,0,1,View Bio
28.0,"Tinkham, Sam 28Tinkham, Sam",3.81,1.42,1-2,5-4,1,0-0,1,26.0,29,21,11,8,28,7,1,1,109,0.266,6,1,0,0,2,View Bio
4.0,"Annerino, Michael 4Annerino, Michael",4.26,1.64,1-0,5-0,0,0-0,1,6.1,7,3,3,3,5,0,0,2,24,0.292,0,0,0,1,0,View Bio
35.0,"Mathews, Noah 35 Mathews, Noah",20.25,8.18,0-0,1-0,0,0-0,0,1.1,7,4,3,2,1,1,0,2,10,0.7,0,0,0,0,0,View Bio
42.0,"Binversie, Ben 42 Binversie, Ben",67.5,45.0,0-0,2-0,0,0-0,0,0.2,8,7,5,1,0,2,0,1,10,0.8,2,0,0,0,0,View Bio
,Totals,2.98,1.35,11-5,31-16,7,2,4,132.2,139,68,44,40,105,19,1,10,518,0.268,14,7,3,5,7,
,Opponents,6.24,1.78,5-11,41-16,1,0,4,131.1,162,112,91,72,86,27,2,13,516,0.314,7,16,3,7,30,
