Unnamed: 0,Time,Athletes,Meet,Meet Date
,10:54.49 #,"Williams, Boev, Chestovich, Miller",Midwest Conference Indoor Track & Field Championships,"Feb 24, 2023"
,11:28.71 #,"Nickeson, Saldanha, Heagy, Williams",Grinnell Invitational,"Jan 28, 2023"
