0,1,2,3,4,5,6
Grinnell,173,179,350,702,126,2nd
Mallory Messin,40,46,86,172,28,2nd
Alex Plemmons,45,42,90,177,33,t-4th
Stephanie Spahr,44,45,88,177,33,t-4th
Hailey Speck,44,47,87,178,34,t-6th
Kayleigh Kresse,45,46,89,180,36,t-10th
Natalie Klee,49,48,93,190,46,t-21st
