0,1,2,3
Grinnell College,326,38,1st
Mallory Messin,79,7,t-3rd
Hailey Speck,80,8,5th
Kayleigh Kresse,83,11,t-7th
Natalie Klee,84,12,t-10th
Alex Plemmons,84,12,t-10th
Elizabeth Burnett#,87,15,t-17th
Stephanie Spahr,88,16,t-21st
