School,Conf,CPct.,Overall,Pct.,Streak,Home,Away,Neutral
Lake Forest#,13-3,.812,25-8,.758,L2,11-2,12-6,2-0
St. Norbert College,11-4,.733,18-9,.667,W1,10-4,7-4,1-1
Beloit,7-9,.438,16-14,.533,W1,10-6,6-8,0-0
Lawrence,6-10,.375,7-17,.292,L1,4-10,3-7,0-0
Ripon,2-13,.133,5-28,.152,L3,2-9,2-16,1-3
Illinois Col.#,13-1,.929,25-14,.641,L2,12-3,10-4,3-7
Cornell College,8-6,.571,13-7,.650,W2,1-3,7-1,5-3
Grinnell,9-7,.562,9-7,.562,W1,4-4,3-3,2-0
Monmouth (IL),5-11,.312,6-20,.231,L1,3-9,3-7,0-4
Knox,3-13,.188,4-24,.143,L2,2-12,1-11,1-1
