School,Conf,CPct.,Overall,Pct.,Streak,Home,Away,Neutral
Lake Forest# *,15-1,.938,24-15,.615,L2,9-6,8-4,7-5
Illinois Col.*,12-3-1,.781,22-14-1,.608,L2,7-4-1,4-2,11-8
Grinnell*,12-4,.750,20-19,.513,W1,7-5,7-4,6-10
Monmouth (IL)*,10-5-1,.656,13-23-1,.365,L3,9-5,3-9-1,1-9
Beloit,7-9,.438,12-23,.343,L2,3-9,6-4,3-10
Cornell College,6-10,.375,8-27,.229,L6,6-8,2-8,0-11
Ripon,5-11,.312,11-27,.289,W3,5-3,4-8,2-16
Knox,2-14,.125,4-27,.129,W1,2-10,1-7,1-10
Lawrence,2-14,.125,4-34,.105,L2,2-6,0-11,2-17
