School,Conf,CPct.,Overall,Pct.,Streak,Home,Away,Neutral
St. Norbert College*,15-3,.833,21-16,.568,L2,14-1,6-7,1-8
Cornell College*,14-4,.778,28-10,.737,L1,10-1,8-7,10-2
Illinois Col.*,13-4,.765,24-13,.649,L2,9-5,9-3,6-5
Lake Forest*,12-5,.706,22-16,.579,L1,9-3,6-5,7-8
Monmouth (IL),10-8,.556,18-17,.514,W3,4-7,8-6,6-4
Ripon,8-10,.444,13-23,.361,L1,4-6,5-9,4-8
Grinnell,7-11,.389,11-23,.324,L6,7-7,2-10,2-6
Beloit,5-13,.278,8-28,.222,W2,6-10,1-9,1-9
Lawrence,4-13,.235,13-22,.371,L6,5-8,3-7,5-7
Knox,0-18,.000,1-27,.036,L21,1-11,0-10,0-6
