School,Conf,CPct.,Overall,Pct.,Streak,Home,Away,Neutral
Lake Forest*^,16-0,1.000,30-13-1,.693,L1,12-6,12-1-1,6-6
Grinnell*,13-3,.812,27-16,.628,L2,7-3,10-7,10-6
Illinois Col.*,12-4,.750,20-22,.476,L1,8-4,5-8,7-10
Cornell College*,10-6,.625,16-19,.457,L2,7-3,7-11,2-5
Monmouth (IL),6-10,.375,8-31,.205,W1,3-11,4-10,1-10
Lawrence,5-11,.312,14-24,.368,L4,5-5,3-11,6-8
Ripon,5-11,.312,11-25,.306,L2,7-7,2-9,2-9
Beloit,5-11,.312,10-28,.263,L1,3-9,6-8,1-11
Knox,0-16,.000,2-31,.061,L26,0-10,0-8,2-13
