School,Conf,CPct.,Overall,Pct.,Streak,Home,Away,Neutral
Lake Forest*^,17-1,.944,29-13,.690,L4,12-4,6-3,11-6
Illinois Col.*,15-3,.833,26-12,.684,L2,10-2,5-2,11-8
Grinnell*,12-6,.667,24-14,.632,L1,9-5,9-2,6-7
Cornell College*,10-8,.556,27-21,.562,L2,7-7,6-4,14-10
Ripon,10-8,.556,16-20,.444,L4,5-3,5-5,6-12
Monmouth (IL),9-9,.500,20-16,.556,L1,6-6,5-5,9-5
St. Norbert College,7-11,.389,11-21,.344,W1,5-3,3-7,3-11
Lawrence,5-13,.278,11-23,.324,L2,2-6,3-7,6-10
Knox,3-15,.167,8-26,.235,L2,2-8,1-9,5-9
Beloit,2-16,.111,5-33,.132,L8,0-10,2-8,3-15
