0,1,2,3,4,5,6,7,8,9,10,11,12,13
,,,Low,Par/-,Finish Top,Finish Top,Finish Top,Finish Top,Rel.,,Career,Career,Career
Player,Rounds,Strokes,Round,Rounds,Events,1,5,10,To Par,Average,Rounds,Strokes,Average
Nina Kouchi,12,906,72,4,7,3,3,6,+4,75.5,49,3723,76.0
Lauren Chen,12,924,70,3,7,1,2,4,+5,77.0,21,1662,79.1
Mary Li,12,932,72,1,7,-,4,5,+6,77.7,12,932,77.7
Aubrie Torhorst,12,948,76,-,7,1,1,3,+7,79.0,27,2206,81.7
Parker Perry,12,977,74,-,7,-,1,2,+10,81.4,16,1315,82.2
Lexi Mueldener,9,752,78,-,5,-,-,1,+12,83.6,25,2168,86.7
Zoe Robinson,7,621,83,-,4,-,-,-,+17,88.7,25,2172,86.9
FOUR-PLAYER TEAM,12,3701,291,8,7,5,11,21,+22,308.4,,,
