0,1,2,3,4,5
Grinnell College (RV),306,307,613,37,1st
Vrishali Sinha,75,74,149,5,2nd
Nina Kouchi,76,76,152,8,t-5th
Vidushi Sinha,78,76,154,10,8th
Danielle Oberlander,77,81,158,14,t-16th
Julia Echikson,96,92,188,44,96th
