0,1,2,3,4,5,6
Grinnell College,323,308,315,312,1258,106
Vidushi Sinha,75,75,79,74,303,15
Vrishali Sinha,84,76,74,77,311,23
Nina Kouchi,76,73,80,83,312,24
Danielle Oberlander,88,84,89,78,339,51
Julia Echikson,91,86,82,86,345,57
