0,1,2,3
Grinnell College,301,+13,1st
Vidushi Sinha,72,E,2nd
Nina Kouchi,75,+3,4th
Danielle Oberlander,76,+4,t-5th
Vrishali Sinha,78,+6,t-10th
Julia Echikson,79,+7,t-13th
