0,1,2,3
Grinnell,309,21,1st
Vidushi Sinha,76,4,t-6th
Vrishali Sinha,76,4,t-6th
Danielle Oberlander,78,6,t-18th
Nina Kouchi,79,7,t-22nd
Julia Echikson,94,22,t-82nd
