Year,Name,Award,Level,Team,Position
2005,Emily Stewart,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE INDIVIDUAL AWARDS,1st Team,Shortstop/Pitcher
2005,Annie Beaman,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE INDIVIDUAL AWARDS,2nd Team,Catcher
2005,Lee Anne Steinberg,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE INDIVIDUAL AWARDS,2nd Team,Pitcher
2005,Karyn Wieland,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE INDIVIDUAL AWARDS,2nd Team,Outfield
2003,Kate Reynolds,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE INDIVIDUAL AWARDS,1st Team,Pitcher/First Base
2003,Dinah Zebot,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE INDIVIDUAL AWARDS,1st Team,Pitcher/Third Base
2025,Kala Bisterfeldt,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL INDIVIDUAL AWARDS,,
2025,Sofia DiCarlo,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL INDIVIDUAL AWARDS,,
2025,Hannah Dykstra,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL INDIVIDUAL AWARDS,,
2025,Asiana Gostyla,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL INDIVIDUAL AWARDS,,
2025,Lane Kohler,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL INDIVIDUAL AWARDS,,
2025,Bella Nesbeth,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL INDIVIDUAL AWARDS,,
2025,Kayla O'Malley,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL INDIVIDUAL AWARDS,,
2025,Nicolette Parrott,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL INDIVIDUAL AWARDS,,
2025,Elyse Pender,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL INDIVIDUAL AWARDS,,
2025,Elise Strohm,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL INDIVIDUAL AWARDS,,
2025,Ella Young,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL INDIVIDUAL AWARDS,,
2024,Kambria Anson,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL INDIVIDUAL AWARDS,,
2024,Samantha Chu,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL INDIVIDUAL AWARDS,,
2024,Sofia DiCarlo,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL INDIVIDUAL AWARDS,,
2024,Emma DiGiacomo-Zahller,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL INDIVIDUAL AWARDS,,
2024,Taylor Durak,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL INDIVIDUAL AWARDS,,
2024,Christin Hartman,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL INDIVIDUAL AWARDS,,
2024,Kyra Killion,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL INDIVIDUAL AWARDS,,
2024,Lane Kohler,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL INDIVIDUAL AWARDS,,
2024,Alexa Okada,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL INDIVIDUAL AWARDS,,
2024,Elyse Pender,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL INDIVIDUAL AWARDS,,
2024,Lizzy Vermeulen,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL INDIVIDUAL AWARDS,,
2024,Kathryn Veremeulen,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL INDIVIDUAL AWARDS,,
2022,Kami Anson,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL INDIVIDUAL AWARDS,,
2022,Samantha Chu,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL INDIVIDUAL AWARDS,,
2022,Sofia DiCarlo,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL INDIVIDUAL AWARDS,,
2022,Emma DiGiacomo Zahller,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL INDIVIDUAL AWARDS,,
2022,Lane Kohler,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL INDIVIDUAL AWARDS,,
2022,Emma Nelson,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL INDIVIDUAL AWARDS,,
2022,Alexa Okada,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL INDIVIDUAL AWARDS,,
2022,Lizzy Vermeulen,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL INDIVIDUAL AWARDS,,
2022,Kathryn Vermeulen,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL INDIVIDUAL AWARDS,,
2022,Mary Webb,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL INDIVIDUAL AWARDS,,
2021,Kami Anson,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL INDIVIDUAL AWARDS,,
2021,Leila Bishop-Parise,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL INDIVIDUAL AWARDS,,
2021,Samantha Chu,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL INDIVIDUAL AWARDS,,
2021,Emma DiGiacomo-Zahller,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL INDIVIDUAL AWARDS,,
2021,Taylor Durak,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL INDIVIDUAL AWARDS,,
2021,Kaylie Eiden,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL INDIVIDUAL AWARDS,,
2021,Christin Hartman,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL INDIVIDUAL AWARDS,,
2021,Flynn Johnson,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL INDIVIDUAL AWARDS,,
2021,Kyra Killion,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL INDIVIDUAL AWARDS,,
2021,Emma Nelson,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL INDIVIDUAL AWARDS,,
2021,Alexa Okada,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL INDIVIDUAL AWARDS,,
2021,Kathryn Vermeulen,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL INDIVIDUAL AWARDS,,
2021,Lizzy Vermeulen,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL INDIVIDUAL AWARDS,,
2019,Elle Adams,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL INDIVIDUAL AWARDS,,
2019,Kaylie Eiden,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL INDIVIDUAL AWARDS,,
2019,Emily Jordan,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL INDIVIDUAL AWARDS,,
2019,Maddie Matsubara,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL INDIVIDUAL AWARDS,,
2019,Lily Seibert,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL INDIVIDUAL AWARDS,,
