Year,Name,Award,Level
2019,Agne Lukoseviciute,All-America,National
2014,Sarah Burnell,All-America,National
2007,Sarah Spencer,All-America,National
2024,Eva Carchidi,USTFCCCA All-Academic,National
2019,Cara Bresnahan,All-Region,Region
2019,Agne Lukoseviciute,All-Region,Region
2019,Paige Olowu,All-Region,Region
2019,Agne Lukoseviciute,Outstanding Performer,Midwest Conference
2014,Christine Ajinjeru,Outstanding Performer,Midwest Conference
2014,Sarah Burnell,Outstanding Performer,Midwest Conference
2014,Eloise Miller,Outstanding Performer,Midwest Conference
2012,Sarah Burnell,Outstanding Performer,Midwest Conference
2021,Sadie Staker,Newcomer of the Year,Midwest Conference
2014,Evelyn Freeman,Coach of the Year,Midwest Conference
