Year,Name,Award,Level
2014,Sarah Burnell,All-America,National
2020,Ange Lukoseviciute,All-Region,Region
2020,Sarina Kopf,All-Region,Region
2025,Hannah Roark,Outstanding Performer,Midwest Conference
2015,Eloise Miller,Outstanding Performer,Midwest Conference
2014,Sarah Burnell,Outstanding Performer,Midwest Conference
2007,Sarah Spencer,Outstanding Performer,Midwest Conference
