Year,Name,Award,Level,Team,Position
2021,Kaylin Kuhn,AVCA ALL-AMERICA,NATIONAL INDIVIDUAL AWARDS,Honorable Mention,
2022,Payton Lowrey,COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-AMERICA®,NATIONAL INDIVIDUAL AWARDS,3rd Team,Libero
2021,Kaylin Kuhn,AVCA ALL-REGION,REGION/DISTRICT INDIVIDUAL AWARDS,1st Team,Outside Hitter
2024,Emily Brewer,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION/DISTRICT INDIVIDUAL AWARDS,1st Team,
2024,Jenna Keller,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION/DISTRICT INDIVIDUAL AWARDS,1st Team,
2024,Hayley Taka,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION/DISTRICT INDIVIDUAL AWARDS,1st Team,
2024,Sophie Weber,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION/DISTRICT INDIVIDUAL AWARDS,1st Team,
2023,Emily Brewer,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION/DISTRICT INDIVIDUAL AWARDS,1st Team,
2023,Jenna Keller,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION/DISTRICT INDIVIDUAL AWARDS,1st Team,
2023,Malaina Miles,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION/DISTRICT INDIVIDUAL AWARDS,1st Team,
2023,Hayley Taka,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION/DISTRICT INDIVIDUAL AWARDS,1st Team,
2022,Payton Lowrey,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION/DISTRICT INDIVIDUAL AWARDS,1st Team,
2022,Emily Brewer,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION/DISTRICT INDIVIDUAL AWARDS,1st Team,
2022,Malaine Miles,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION/DISTRICT INDIVIDUAL AWARDS,1st Team,
2022,Rachel Woock,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION/DISTRICT INDIVIDUAL AWARDS,1st Team,
2022,Payton Lowrey,PLAYER OF THE YEAR,MIDWEST CONFERENCE INDIVIDUAL AWARDS,,Libero
2021,Kaylin Kuhn,PLAYER OF THE YEAR,MIDWEST CONFERENCE INDIVIDUAL AWARDS,,Outside Hitter
2009,Claire Reeder,PLAYER OF THE YEAR,MIDWEST CONFERENCE INDIVIDUAL AWARDS,,Middle Blocker
2022,Hayley Taka,NEWCOMER OF THE YEAR,MIDWEST CONFERENCE INDIVIDUAL AWARDS,,Outside Hitter
2017,Kaylin Kuhn,NEWCOMER OF THE YEAR,MIDWEST CONFERENCE INDIVIDUAL AWARDS,,Outside Hitter
2010,Claire Reeder,MIDWEST CONFERENCE WOMAN OF THE YEAR,MIDWEST CONFERENCE INDIVIDUAL AWARDS,,
2024,Emily Brewer,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE INDIVIDUAL AWARDS,1st Team,Setter
2024,Sophie Weber,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE INDIVIDUAL AWARDS,1stTeam,Libero
2024,Millie Leonard,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE INDIVIDUAL AWARDS,1st Team,Middle Blocker
2024,Jenna Keller,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE INDIVIDUAL AWARDS,2nd Team,Outside Hitter
2023,Emily Brewer,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE INDIVIDUAL AWARDS,1st Team,Setter
2023,Jenna Keller,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE INDIVIDUAL AWARDS,1st Team,Outside Hitter
2023,Sophie Weber,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE INDIVIDUAL AWARDS,1st Team,Libero
2022,Payton Lowrey,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE INDIVIDUAL AWARDS,1st Team,Libero
2022,Hayley Taka,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE INDIVIDUAL AWARDS,1st Team,Outside Hitter
2022,Emily Brewer,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE INDIVIDUAL AWARDS,2nd Team,Setter
2022,Malaina Miles,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE INDIVIDUAL AWARDS,2nd Team,Middle Blocker
2021,Kaylin Kuhn,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE INDIVIDUAL AWARDS,1st Team,Outside Hitter
2021,Olivia Jensen,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE INDIVIDUAL AWARDS,1st Team,Middle Blocker
2021,Emily Brewer,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE INDIVIDUAL AWARDS,2nd Team,Setter
2021,Jenna Keller,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE INDIVIDUAL AWARDS,2nd Team,Outside Hitter
2021,Julianna Roth,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE INDIVIDUAL AWARDS,2nd Team,Setter
2019,Kaylin Kuhn,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE INDIVIDUAL AWARDS,1st Team,Outside Hitter
2019,Julianna Roth,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE INDIVIDUAL AWARDS,2nd Team,Setter
2018,Kaylin Kuhn,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE INDIVIDUAL AWARDS,1st Team,Outside Hitter
2018,Julianna Roth,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE INDIVIDUAL AWARDS,2nd Team,Setter
2017,Kaylin Kuhn,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE INDIVIDUAL AWARDS,2nd Team,Outside Hitter
2016,Olivia Fromm,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE INDIVIDUAL AWARDS,1st Team,Outside Hitter
2016,Margaret Giles,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE INDIVIDUAL AWARDS,2nd Team,Setter
2013,Claire Weidman,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE INDIVIDUAL AWARDS,2nd Team,Outside Hitter
2012,Cheyenne Hickox,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE INDIVIDUAL AWARDS,2nd Team,Outside Hitter
2011,Michelle Briggs,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE INDIVIDUAL AWARDS,2nd Team,Middle Hitter
2011,Olivia Wilks,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE INDIVIDUAL AWARDS,2nd Team,Setter
2010,Claire Reeder,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE INDIVIDUAL AWARDS,1st Team,Middle Hitter
2009,Claire Reeder,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE INDIVIDUAL AWARDS,1st Team,Middle Blocker
2009,Olivia Wilks,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE INDIVIDUAL AWARDS,2nd Team,Setter
2008,Claire Reeder,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE INDIVIDUAL AWARDS,1st Team,Middle Hitter
2007,Claire Reeder,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE INDIVIDUAL AWARDS,2nd Team,Middle Hitter
2006,Tamrah Collins,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE INDIVIDUAL AWARDS,2nd Team,Middle Hitter
2005,Tamrah Collins,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE INDIVIDUAL AWARDS,1st Team,Middle Hitter
2003,Cathy Stella,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE INDIVIDUAL AWARDS,2nd Team,
