0,1,2,3,4,5,6,7
Tournament,Dates,Rounds,Place,Teams,Players,Par,Score
Wartburg Men's Fall Invite,"Sep 29-30, 2018",2,7,7,41,+174,750
Grinnell vs. Pima Dual,"Mar 20, 2019",1,2,2,12,+104,392
Eagle Spring Classic,"Mar 24-25, 2019",,,,,,
Jim Wetherbee Invite,"Mar 29-30, 2019",2,20,21,117,+189,765
Wartburg Spring Invite,"Apr 5-6, 2019",2,14,15,88,+116,692
Grinnell vs. Central Dual,"Apr 13, 2019",,,,,,
Grinnell Mini-Invite,"Apr 13, 2019",1,3,3,18,+69,357
Midwest Conference Championships,"May 2-4, 2019",3,6,6,36,+174,1038
