Statistic,Grinnell,Opponents OPP
Shots,Shots,Shots
Goals G,27,19
Goals Per Game G/AVG,1.42,1.00
Shots SH,244,187
Shots Per Game SH/AVG,12.8,9.8
Shots Percentage SH%,0.111,0.102
Shots On Goal SOG,141-244,89-187
Shots On Goal Percentage SOG%,0.578,0.476
Penalties,Penalties,Penalties
Yellow Cards YC,3,9
Red Cards RC,0,1
Miscellaneous,Miscellaneous,Miscellaneous
Assists A,14,8
Saves S,70,114
Fouls F,111,124
Corner Kicks CK,80,62
Penalty Kicks: Goals-Attempts PG-PA,0-0,0-0
