Date,Opponent,Score,Minutes,GA,GAAvg,Saves,Save %,W,L,T,SHO,Faced
09/01/2022,Dubuque,0-0,90:00,0,0.0,3,1.0,0,0,1,1,5
09/03/2022,Coe,0-1,90:00,1,0.5,9,0.9,0,1,0,0,17
09/10/2022,Carleton,4-0,90:00,0,0.33,2,1.0,1,0,0,1,5
09/17/2022,Neb. Wesleyan,1-1,90:00,1,0.5,7,0.875,0,0,1,0,19
9/18/2022,Buena Vista,0-2,90:00,2,0.8,11,0.846,0,1,0,0,23
09/24/2022,Illinois Col.,2-4,90:00,4,1.33,5,0.556,0,1,0,0,10
09/28/2022,Knox,0-0,90:00,0,1.14,7,1.0,0,0,1,1,11
10/02/2022,Luther,2-2,90:00,2,1.25,3,0.6,0,0,1,0,7
10/05/2022,Cornell College,0-2,90:00,2,1.33,9,0.818,0,1,0,0,16
10/08/2022,Beloit,0-1,90:00,1,1.3,6,0.857,0,1,0,0,10
10/12/2022,Monmouth (IL),1-3,90:00,3,1.45,9,0.75,0,1,0,0,24
10/15/2022,Lawrence,1-2,90:00,2,1.5,3,0.6,0,1,0,0,6
10/19/2022,Saint Mary's (MN),2-0,90:00,0,1.38,3,1.0,1,0,0,1,10
10/22/2022,Ripon,0-2,90:00,2,1.43,17,0.895,0,1,0,0,33
10/23/2022,Marian (WI),0-2,90:00,2,1.47,1,0.333,0,1,0,0,8
10/29/2022,Lake Forest,0-1,90:00,1,1.44,2,0.667,0,1,0,0,10
11/05/2022,Cornell College,1-2,90:00,2,1.47,7,0.778,0,1,0,0,13
11/06/2022,Beloit,0-0,110:00,0,1.37,3,1.0,0,0,1,1,8
11/12/2022,Wartburg,5-2,90:00,2,1.4,4,0.667,1,0,0,0,9
Totals,,-,1730,27,1.4,111,0.804,3,11,5,5,244
Grinnell,,-,1730:00,19,0.99,70,0.787,11,3,5,10,187
