Date,Opponent,Score,G,A,Shots,On Goal,Corners,YC,RC
09/01/2022,vs Dubuque,0-0,0/0,0/0,5/11,3/4,2/4,0/1,0/0
09/03/2022,vs Coe,1-0,1/0,0/0,17/7,10/2,8/0,1/0,0/0
09/10/2022,vs Carleton,0-4,0/4,0/0,5/20,2/7,2/8,0/0,0/0
09/17/2022,vs Neb. Wesleyan,1-1,1/1,1/0,19/11,8/3,5/3,0/0,0/0
9/18/2022,at Buena Vista,2-0,2/0,2/0,23/2,13/1,5/2,0/1,0/0
09/24/2022,at Illinois Col.,4-2,4/2,2/0,10/8,9/4,7/2,0/1,0/0
09/28/2022,vs Knox,0-0,0/0,0/0,11/8,8/3,9/1,0/0,0/0
10/02/2022,vs Luther,2-2,2/2,1/1,7/18,6/9,4/3,0/0,0/0
10/05/2022,vs Cornell College,2-0,2/0,2/0,16/10,11/5,1/3,0/1,0/0
10/08/2022,vs Beloit,1-0,1/0,1/0,10/6,7/4,0/2,1/1,0/0
10/12/2022,at Monmouth (IL),3-1,3/1,1/1,24/4,13/2,7/1,0/0,0/1
10/15/2022,at Lawrence,2-1,2/1,0/0,6/8,5/4,2/9,0/1,0/0
10/19/2022,vs Saint Mary's (MN),0-2,0/2,0/0,10/11,3/6,3/3,0/0,0/0
10/22/2022,at Ripon,2-0,2/0,1/0,33/4,19/3,12/1,0/1,0/0
10/23/2022,at Marian (WI),2-0,2/0,1/0,8/16,3/5,3/4,0/0,0/0
10/29/2022,vs Lake Forest,1-0,1/0,0/0,10/13,3/4,3/5,1/0,0/0
11/05/2022,vs Cornell College,2-1,2/1,2/0,13/3,9/3,3/0,0/0,0/0
11/06/2022,vs Beloit,0-0,0/0,0/0,8/11,3/8,2/6,0/1,0/0
11/12/2022,at Wartburg,2-5,2/5,0/6,9/16,6/12,2/5,0/1,0/0
Totals,,,27/19,14/8,244/187,141/89,80/62,3/9,0/1
