Date,Opponent,Score,Minutes,GA,GAAvg,Saves,Save %,W,L,T,SHO,Faced
09/01/2022,Dubuque,0-0,90:00,0,0.0,4,1.0,0,0,1,1,11
09/03/2022,Coe,1-0,90:00,0,0.0,2,1.0,1,0,0,1,7
09/10/2022,Carleton,0-4,90:00,4,1.33,3,0.429,0,1,0,0,20
09/17/2022,Neb. Wesleyan,1-1,90:00,1,1.25,2,0.667,0,0,1,0,11
9/18/2022,Buena Vista,2-0,90:00,0,1.0,1,1.0,1,0,0,1,2
09/24/2022,Illinois Col.,4-2,90:00,2,1.17,2,0.5,1,0,0,0,8
09/28/2022,Knox,0-0,90:00,0,1.0,3,1.0,0,0,1,1,8
10/02/2022,Luther,2-2,90:00,2,1.13,7,0.778,0,0,1,0,18
10/05/2022,Cornell College,2-0,90:00,0,1.0,5,1.0,1,0,0,1,10
10/08/2022,Beloit,1-0,90:00,0,0.9,4,1.0,1,0,0,1,6
10/12/2022,Monmouth (IL),3-1,90:00,1,0.91,1,0.5,1,0,0,0,4
10/15/2022,Lawrence,2-1,90:00,1,0.92,3,0.75,1,0,0,0,8
10/19/2022,Saint Mary's (MN),0-2,90:00,2,1.0,4,0.667,0,1,0,0,11
10/22/2022,Ripon,2-0,90:00,0,0.93,3,1.0,1,0,0,1,4
10/23/2022,Marian (WI),2-0,90:00,0,0.87,5,1.0,1,0,0,1,16
10/29/2022,Lake Forest,1-0,90:00,0,0.81,4,1.0,1,0,0,1,13
11/05/2022,Cornell College,2-1,90:00,1,0.82,2,0.667,1,0,0,0,3
11/06/2022,Beloit,0-0,110:00,0,0.77,8,1.0,0,0,1,1,11
11/12/2022,Wartburg,2-5,90:00,5,0.99,7,0.583,0,1,0,0,16
Totals,,-,1730,19,0.99,70,0.787,11,3,5,10,187
Opponent,,-,1730:00,27,1.4,111,0.804,3,11,5,5,244
