#,Player,GP,GS,MIN,GA,GAA,SV,SV%,W,L,T,SHO/CBO,SF,Bio Link
1.0,"Arneson, Elinor 1Arneson, Elinor",17,17,1550:00,19,1.1,64,0.771,10.0,3.0,4.0,8/0,169,View Bio
0.0,"Beltramo, Maddie 0Beltramo, Maddie",1,1,45:00,0,0.0,0,0.0,1.0,0.0,0.0,0/1,2,View Bio
9.0,"McKinney, Bethany 9McKinney, Bethany",1,1,45:00,0,0.0,2,1.0,0.0,0.0,0.0,0/1,5,View Bio
0.0,"Woodard, Valeriya 00Woodard, Valeriya",1,1,90:00,0,0.0,4,1.0,0.0,0.0,1.0,1/0,11,View Bio
,Total,19,-,1730:00,19,0.99,70,0.787,11.0,3.0,5.0,10,187,
,Opponents,19,-,1730:00,27,1.4,111,0.804,,,,5,244,
