#,Player,GP,GS,MIN,GA,GAA,SV,SV%,W,L,T,SHO/CBO,SF,Bio Link
1.0,"Arneson, Elinor 1Arneson, Elinor",8,8,720:00,4,0.5,25,0.862,7.0,0.0,1.0,5/0,61,View Bio
,Total,8,-,720:00,4,0.5,25,0.862,7.0,0.0,1.0,5,61,
,Opponents,8,-,720:00,15,1.88,58,0.795,,,,1,120,
