Date,Opponent,Score,G,A,PTS,SH,Shot%,SOG,SOG%,YC-RC,GW,PK-ATT,Min
09/01/2022,Dubuque,0-0,0,0,0,11,0.0,4,0.364,1-0,0,0-0,990
09/03/2022,Coe,0-1,0,0,0,7,0.0,2,0.286,0-0,0,0-0,990
09/10/2022,Carleton,4-0,4,0,8,20,0.2,7,0.35,0-0,1,0-0,990
09/17/2022,Neb. Wesleyan,1-1,1,0,2,11,0.091,3,0.273,0-0,0,0-0,991
9/18/2022,Buena Vista,0-2,0,0,0,2,0.0,1,0.5,1-0,0,0-0,991
09/24/2022,Illinois Col.,2-4,2,0,4,8,0.25,4,0.5,1-0,0,0-0,990
09/28/2022,Knox,0-0,0,0,0,8,0.0,3,0.375,0-0,0,0-0,990
10/02/2022,Luther,2-2,2,1,5,18,0.111,9,0.5,0-0,0,0-0,990
10/05/2022,Cornell College,0-2,0,0,0,10,0.0,5,0.5,1-0,0,0-0,987
10/08/2022,Beloit,0-1,0,0,0,6,0.0,4,0.667,1-0,0,0-0,990
10/12/2022,Monmouth (IL),1-3,1,1,3,4,0.25,2,0.5,0-1,0,0-0,990
10/15/2022,Lawrence,1-2,1,0,2,8,0.125,4,0.5,1-0,0,0-0,963
10/19/2022,Saint Mary's (MN),2-0,2,0,4,11,0.182,6,0.545,0-0,1,0-0,990
10/22/2022,Ripon,0-2,0,0,0,4,0.0,3,0.75,1-0,0,0-0,990
10/23/2022,Marian (WI),0-2,0,0,0,16,0.0,5,0.313,0-0,0,0-0,990
10/29/2022,Lake Forest,0-1,0,0,0,13,0.0,4,0.308,0-0,0,0-0,990
11/05/2022,Cornell College,1-2,1,0,2,3,0.333,3,1.0,0-0,0,0-0,990
11/06/2022,Beloit,0-0,0,0,0,11,0.0,8,0.727,1-0,0,0-0,1210
11/12/2022,Wartburg,5-2,5,6,16,16,0.313,12,0.75,1-0,1,0-0,990
Total,,19-27,19,8,46,187,0.102,89,0.476,9-1,3,0-0,19002
Grinnell,,-,27,14,68,244,0.111,141,0.578,3-0,11,-,18993
