#,Player,GP,GS,MIN,G,A,PTS,SH,SH%,SOG,SOG%,YC-RC,GW,PG-PA,Bio Link
20.0,"March, Jane 20March, Jane",19,18,1565,5,0,10,32,0.156,19,0.594,0-0,1,0-0,View Bio
15.0,"Paladino, Jill 15Paladino, Jill",19,19,859,3,3,9,25,0.12,13,0.52,1-0,2,0-0,View Bio
7.0,"Smith, Keiko 7Smith, Keiko",19,19,1286,4,1,9,32,0.125,21,0.656,0-0,2,0-0,View Bio
17.0,"Thomas, Tori 17Thomas, Tori",19,8,608,4,0,8,9,0.444,9,1.0,0-0,2,0-0,View Bio
21.0,"Komsthoeft, Reese 21Komsthoeft, Reese",19,6,1052,2,3,7,20,0.1,11,0.55,0-0,1,0-0,View Bio
25.0,"Berk, Tali 25Berk, Tali",19,7,821,2,2,6,21,0.095,11,0.524,0-0,1,0-0,View Bio
24.0,"Bambi, Giada 24Bambi, Giada",19,18,1541,1,3,5,36,0.028,17,0.472,0-0,1,0-0,View Bio
10.0,"Duus, Carlie 10Duus, Carlie",14,5,405,2,0,4,13,0.154,9,0.692,1-0,0,0-0,View Bio
13.0,"Sundaram, Gia 13Sundaram, Gia",15,14,1064,1,1,3,12,0.083,6,0.5,0-0,0,0-0,View Bio
22.0,"Delborne, Ramona 22Delborne, Ramona",18,0,510,1,0,2,16,0.063,9,0.563,0-0,1,0-0,View Bio
11.0,"Nakamura, Kate 11Nakamura, Kate",19,1,493,1,0,2,5,0.2,4,0.8,0-0,0,0-0,View Bio
2.0,"Wehrman, Allison 2Wehrman, Allison",18,1,381,1,0,2,7,0.143,3,0.429,0-0,0,0-0,View Bio
9.0,"McKinney, Bethany 9McKinney, Bethany",15,6,638,0,1,1,2,0.0,1,0.5,0-0,0,0-0,View Bio
1.0,"Arneson, Elinor 1Arneson, Elinor",17,17,1550,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
5.0,"Beltramo, Maddie 5Beltramo, Maddie",18,18,1589,0,0,0,4,0.0,1,0.25,0-0,0,0-0,View Bio
18.0,"Carson, Katie 18Carson, Katie",9,0,142,0,0,0,1,0.0,1,1.0,0-0,0,0-0,View Bio
23.0,"Chopra, Antarah 23Chopra, Antarah",10,9,715,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
26.0,"Dueñas, Amelia 26Dueñas, Amelia",14,3,405,0,0,0,1,0.0,1,1.0,0-0,0,0-0,View Bio
6.0,"Hunt, Ella 6Hunt, Ella",17,8,873,0,0,0,2,0.0,1,0.5,0-0,0,0-0,View Bio
16.0,"Leahy, Tessa 16Leahy, Tessa",19,17,1520,0,0,0,1,0.0,1,1.0,1-0,0,0-0,View Bio
19.0,"Szalay, Megan 19Szalay, Megan",1,0,1,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
8.0,"Vanrheenan, Beya 8Vanrheenan, Beya",17,13,885,0,0,0,5,0.0,3,0.6,0-0,0,0-0,
0.0,"Woodard, Valeriya 00Woodard, Valeriya",1,1,90,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
,Total,19,-,18993,27,14,68,244,0.111,141,0.578,3-0,11,0-0,
,Opponent,19,-,19002,19,8,46,187,0.102,89,0.476,9-1,3,0-0,
