Date,Opponent,Score,G,A,PTS,SH,Shot%,SOG,SOG%,YC-RC,GW,PK-ATT,Min
09/01/2022,vs Dubuque,0-0,0,0,0,5,0.0,3,0.6,0-0,0,0-0,990
09/03/2022,vs Coe,1-0,1,0,2,17,0.059,10,0.588,1-0,1,0-0,988
09/10/2022,vs Carleton,0-4,0,0,0,5,0.0,2,0.4,0-0,0,0-0,990
09/17/2022,vs Neb. Wesleyan,1-1,1,1,3,19,0.053,8,0.421,0-0,0,0-0,992
9/18/2022,at Buena Vista,2-0,2,2,6,23,0.087,13,0.565,0-0,1,0-0,991
09/24/2022,at Illinois Col.,4-2,4,2,10,10,0.4,9,0.9,0-0,1,0-0,990
09/28/2022,vs Knox,0-0,0,0,0,11,0.0,8,0.727,0-0,0,0-0,990
10/02/2022,vs Luther,2-2,2,1,5,7,0.286,6,0.857,0-0,0,0-0,990
10/05/2022,vs Cornell College,2-0,2,2,6,16,0.125,11,0.688,0-0,1,0-0,986
10/08/2022,vs Beloit,1-0,1,1,3,10,0.1,7,0.7,1-0,1,0-0,984
10/12/2022,at Monmouth (IL),3-1,3,1,7,24,0.125,13,0.542,0-0,1,0-0,990
10/15/2022,at Lawrence,2-1,2,0,4,6,0.333,5,0.833,0-0,1,0-0,963
10/19/2022,vs Saint Mary's (MN),0-2,0,0,0,10,0.0,3,0.3,0-0,0,0-0,990
10/22/2022,at Ripon,2-0,2,1,5,33,0.061,19,0.576,0-0,1,0-0,989
10/23/2022,at Marian (WI),2-0,2,1,5,8,0.25,3,0.375,0-0,1,0-0,990
10/29/2022,vs Lake Forest,1-0,1,0,2,10,0.1,3,0.3,1-0,1,0-0,990
11/05/2022,vs Cornell College,2-1,2,2,6,13,0.154,9,0.692,0-0,1,0-0,990
11/06/2022,vs Beloit,0-0,0,0,0,8,0.0,3,0.375,0-0,0,0-0,1210
11/12/2022,at Wartburg,2-5,2,0,4,9,0.222,6,0.667,0-0,0,0-0,990
Total,,27-19,27,14,68,244,0.111,141,0.578,3-0,11,0-0,18993
Opponent,,-,19,8,46,187,0.102,89,0.476,9-1,3,-,19002
