Statistic,High,Player,Opponent
POINTS,4,"Paladino, Jillian",Monmouth (IL) (10/12/2022)
GOALS,2,"Paladino, Jillian",Monmouth (IL) (10/12/2022)
ASSISTS,2,"Komsthoeft, Reese",Cornell College (10/05/2022)
SHOTS,9,"Smith, Keiko",Ripon (10/22/2022)
SHOTS ON GOAL,5,"Smith, Keiko",Ripon (10/22/2022)
SAVES,8,"Arneson, Elinor",Beloit (11/06/2022)
FOULS,4,"Duus, Carlie",Knox (09/28/2022)
