Date,Opponent,W/L,Score,Overall,Conference,Attend,Goals Scored [Assist]
09/01/2022,vs Dubuque,T,0-0,"(0-0-1, 0-0-0)",0-0-0,50,
09/03/2022,vs Coe,W,1-0,"(1-0-1, 0-0-0)",0-0-0,76,Giada Bambi (1)
09/10/2022,vs Carleton,L,0-4,"(1-1-1, 0-0-0)",0-0-0,30,
09/17/2022,vs Neb. Wesleyan,T,1-1,"(1-1-2, 0-0-0)",0-0-0,72,Carlie Duus (1) (Giada Bambi)
9/18/2022,at Buena Vista,W,2-0,"(2-1-2, 0-0-0)",0-0-0,45,Jillian Paladino (1) (Tali Berk)  Carlie Duus (2) (Gia Sundaram)
09/24/2022,at Illinois Col.,W,4-2,"(3-1-2, 1-0-0)",1-0-0,68,Jane March (1) (Keiko Smith)  Keiko Smith (1) Reese Komsthoeft (1) Tori Thomas (1) (Giada Bambi)
09/28/2022,vs Knox,T,0-0,"(3-1-3, 1-0-1)",1-0-1,53,
10/02/2022,vs Luther,T,2-2,"(3-1-4, 1-0-1)",1-0-1,20,Gia Sundaram (1) (Jillian Paladino)  Jane March (2)
10/05/2022,vs Cornell College,W,2-0,"(4-1-4, 2-0-1)",2-0-1,60,Jane March (3) (Reese Komsthoeft)  Kate Nakamura (1) (Reese Komsthoeft)
10/08/2022,vs Beloit,W,1-0,"(5-1-4, 3-0-1)",3-0-1,65,Tori Thomas (2) (Giada Bambi)
10/12/2022,at Monmouth (IL),W,3-1,"(6-1-4, 4-0-1)",4-0-1,250,Jillian Paladino (2) (Tali Berk)  Jillian Paladino (2) Jane March (4)
10/15/2022,at Lawrence,W,2-1,"(7-1-4, 5-0-1)",5-0-1,468,Tori Thomas (3) Tali Berk (1)
10/19/2022,vs Saint Mary's (MN),L,0-2,"(7-2-4, 5-0-1)",5-0-1,39,
10/22/2022,at Ripon,W,2-0,"(8-2-4, 6-0-1)",6-0-1,50,Keiko Smith (2) (Jillian Paladino)  Reese Komsthoeft (2)
10/23/2022,at Marian (WI),W,2-0,"(9-2-4, 6-0-1)",6-0-1,267,Ramona Delborne (1) (Bethany McKinney)  Allison Wehrman (1)
10/29/2022,vs Lake Forest,W,1-0,"(10-2-4, 7-0-1)",7-0-1,102,Tori Thomas (4)
11/05/2022,vs Cornell College,W,2-1,"(11-2-4, 7-0-1)",7-0-1,70,Tali Berk (2) (Jillian Paladino)  Keiko Smith (3) (Reese Komsthoeft)
11/06/2022,vs Beloit,T,0-0,"(11-2-5, 7-0-1)",7-0-1,215,
11/12/2022,at Wartburg,L,2-5,"(11-3-5, 7-0-1)",7-0-1,250,Jane March (5) Keiko Smith (4)
