Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Men's Team Average Annual Institutional Salary per Head Coach,Men's Team Number of Head Coaches Included in Average,Men's Team Average Annual Institutional Salary per FTE,Men's Team Number of FTEs Included in Average, Women's Team Average Annual Institutional Salary per Head Coach,Women's Team Number of Head Coaches Included in Average,Women's Team Average Annual Institutional Salary per FTE,Women's Team Number of FTEs Included in Average, Coed Team Average Annual Institutional Salary per Head Coach,Coed Team Number of Head Coaches Included in Average,Coed Team Average Annual Institutional Salary per FTE,Coed Team Number of FTEs Included in Average
2003,238333,00383500,Beloit College,WI,NCAA Division III with football,,1,NCAA,440,481,921,31419,8,47877,5.25,26700,7,42477,4.40,,,,
2004,238333,00383500,Beloit College,WI,NCAA Division III with football,,1,NCAA,440,481,921,31495,7,58017,3.80,15594,8,46204,2.70,,,,
2005,238333,00383500,Beloit College,WI,NCAA Division III with football,,1,NCAA,440,481,921,28099,10,53017,5.30,10750,9,38546,2.51,,,,
2006,238333,00383500,Beloit College,WI,NCAA Division III with football,,1,NCAA,440,481,921,26202,9,54841,4.30,13145,9,38163,3.10,,,,
2007,238333,00383500,Beloit College,WI,NCAA Division III with football,,1,NCAA,440,481,921,24981,9,51685,4.35,17807,9,46453,3.45,,,,
2008,238333,00383500,Beloit College,WI,NCAA Division III with football,,1,NCAA,440,481,921,25405,9,52562,4.35,22037,8,41481,4.25,,,,
2009,238333,00383500,Beloit College,WI,NCAA Division III with football,,1,NCAA,440,481,921,26275,9,54362,4.35,20025,8,37694,4.25,,,,
2010,238333,00383500,Beloit College,WI,NCAA Division III with football,,1,NCAA,440,481,921,25058,8,48305,4.15,15166,8,28548,4.25,,,,
2011,238333,00383500,Beloit College,WI,NCAA Division III with football,,1,NCAA,440,481,921,28761,8,55443,4.15,21209,8,41894,4.05,,,,
2012,238333,00383500,Beloit College,WI,NCAA Division III with football,,1,NCAA,440,481,921,38550,8,48567,6.35,26980,9,39483,6.15,,,,
2013,238333,00383500,Beloit College,WI,NCAA Division III with football,,1,NCAA,440,481,921,37215,8,50805,5.86,28865,9,45817,5.67,,,,
2014,238333,00383500,Beloit College,WI,NCAA Division III with football,,1,NCAA,440,481,921,35855,8,61160,4.69,26910,9,44357,5.46,,,,
2015,238333,00383500,Beloit College,WI,NCAA Division III with football,,1,NCAA,440,481,921,33352,8,56890,5.00,23045,9,37303,6.00,,,,
2016,238333,00383500,Beloit College,WI,NCAA Division III with football,,1,NCAA,440,481,921,37407,8,54311,5.51,31289,9,51293,5.49,,,,
2017,238333,00383500,Beloit College,WI,NCAA Division III with football,,1,NCAA,440,481,921,39896,8,57925,5.51,31974,9,52416,5.49,,,,
2018,238333,00383500,Beloit College,WI,NCAA Division III with football,,1,NCAA,440,481,921,41505,8,54974,6.04,32680,9,52521,5.60,,,,
2019,238333,00383500,Beloit College,WI,NCAA Division III with football,,1,NCAA,440,481,921,37847,8,55453,5.46,30464,9,48960,5.60,,,,
2020,238333,00383500,Beloit College,WI,NCAA Division III with football,,1,NCAA,440,481,921,23584,2,81324,0.58,37418,3,52455,2.14,,,,
2021,238333,00383500,Beloit College,WI,NCAA Division III with football,,1,NCAA,440,481,921,33521,8,52789,5.08,33841,8,45886,5.90,,,,
2022,238333,00383500,Beloit College,WI,NCAA Division III with football,,1,NCAA,440,481,921,29701,8,55129,4.31,33376,8,44427,6.01,,,,
