Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Archery Men's Team Revenue,Archery Women's Team Revenue,Archery Coed Team Revenue,Archery Total Revenue,Badminton Men's Team Revenue,Badminton Women's Team Revenue,Badminton Coed Team Revenue,Badminton Total Revenue,Baseball Men's Team Revenue,Baseball Women's Team Revenue,Baseball Coed Team Revenue,Baseball Total Revenue,Basketball Men's Team Revenue,Basketball Women's Team Revenue,Basketball Coed Team Revenue,Basketball Total Revenue,Beach Volleyball Men's Team Revenue,Beach Volleyball Women's Team Revenue,Beach Volleyball Coed Team Revenue Revenue,Beach Volleyball Total Revenue,Bowling Men's Team Revenue,Bowling Women's Team Revenue,Bowling Coed Team Revenue,Bowling Total Revenue,All Track Combined Men's Team Revenue,All Track Combined Women's Team Revenue,All Track Combined Coed Team Revenue,All Track Combined Total Revenue,Diving Men's Team Revenue,Diving Women's Team Revenue,Diving Coed Team Revenue,Diving Total Revenue,Equestrian Men's Team Revenue,Equestrian Women's Team Revenue,Equestrian Coed Team Revenue,Equestrian Total Revenue,Fencing Men's Team Revenue,Fencing Women's Team Revenue,Fencing Coed Team Revenue,Fencing Total Revenue,Field Hockey Men's Team Revenue,Field Hockey Women's Team Revenue,Field Hockey Coed Team Revenue,Field Hockey Total Revenue,Football Men's Team Revenue,Football Women's Team Revenue,Football Coed Team Revenue,Football Total Revenue,Golf Men's Team Revenue,Golf Women's Team Revenue,Golf Coed Team Revenue,Golf Total Revenue,Gymnastics Men's Team Revenue,Gymnastics Women's Team Revenue,Gymnastics Coed Team Revenue,Gymnastics Total Revenue,Ice Hockey Men's Team Revenue,Ice Hockey Women's Team Revenue,Ice Hockey Coed Team Revenue,Ice Hockey Total Revenue,Lacrosse Men's Team Revenue,Lacrosse Women's Team Revenue,Lacrosse Coed Team Revenue,Lacrosse Total Revenue,Rifle Men's Team Revenue,Rifle Women's Team Revenue,Rifle Coed Team Revenue,Rifle Total Revenue,Rodeo Men's Team Revenue,Rodeo Women's Team Revenue,Rodeo Coed Team Revenue,Rodeo Total Revenue,Rowing Men's Team Revenue,Rowing Women's Team Revenue,Rowing Coed Team Revenue,Rowing Total Revenue,Sailing Men's Team Revenue,Sailing Women's Team Revenue,Sailing Coed Team Revenue,Sailing Total Revenue,Skiing Men's Team Revenue,Skiing Women's Team Revenue,Skiing Coed Team Revenue,Skiing Total Revenue,Soccer Men's Team Revenue,Soccer Women's Team Revenue,Soccer Coed Team Revenue,Soccer Total Revenue,Softball Men's Team Revenue,Softball Women's Team Revenue,Softball Coed Team Revenue,Softball Total Revenue,Squash Men's Team Revenue,Squash Women's Team Revenue,Squash Coed Team Revenue,Squash Total Revenue,Swimming and Diving Men's Team Revenue,Swimming and Diving Women's Team Revenue,Swimming and Diving Coed Team Revenue,Swimming and Diving Total Revenue,Swimming Men's Team Revenue,Swimming Women's Team Revenue,Swimming Coed Team Revenue,Swimming Total Revenue,Synchronized Swimming Men's Team Revenue,Synchronized Swimming Women's Team Revenue,Synchronized Swimming Coed Team Revenue,Synchronized Swimming Total Revenue,Table Tennis Men's Team Revenue,Table Tennis Women's Team Revenue,Table Tennis Coed Team Revenue,Table Tennis Total Revenue,Team Handball Men's Team Revenue,Team Handball Women's Team Revenue,Team Handball Coed Team Revenue,Team Handball Total Revenue,Tennis Men's Team Revenue,Tennis Women's Team Revenue,Tennis Coed Team Revenue,Tennis Total Revenue,Track and Field Indoor Men's Team Revenue,Track and Field Indoor Women's Team Revenue,Track and Field Indoor Coed Team Revenue,Track and Field Indoor Total Revenue,Track and Field Outdoor Men's Team Revenue,Track and Field Outdoor Women's Team Revenue,Track and Field Outdoor Coed Team Revenue,Track and Field Outdoor Total Revenue,Track and Field X Country Men's Team Revenue,Track and Field X Country Women's Team Revenue,Track and Field X Country Coed Team Revenue,Track and Field X Country Total Revenue,Volleyball Men's Team Revenue,Volleyball Women's Team Revenue,Volleyball Coed Team Revenue,Volleyball Total Revenue,Water Polo Men's Team Revenue,Water Polo Women's Team Revenue,Water Polo Coed Team Revenue,Water Polo Total Revenue,Weight Lifting Men's Team Revenue,Weight Lifting Women's Team Revenue,Weight Lifting Coed Team Revenue,Weight Lifting Total Revenue,Wrestling Men's Team Revenue,Wrestling Women's Team Revenue,Wrestling Coed Team Revenue,Wrestling Total Revenue,Other Sports Men's Team Revenue,Other Sports Women's Team Revenue,Other Sports Coed Team Revenue,Other Sports Total Revenue,Total Men's Team Revenue,Total Women's Team Revenue,Total Coed Team Revenue,Not Allocated by Gender/Sport Revenue,Grand Total Revenue
2003,238333,00383500,Beloit College,WI,NCAA Division III (with football),,1,NCAA,500,763,1263,,,,,,,,,24737,,,24737,23282,18312,,41594,,,,,,,,,21197,19844,,41041,,,,,,,,,,,,,,,,,23868,,,23868,3992,4990,,8982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11040,9570,,20610,,17316,,17316,,,,,,,,,4090,12710,,16800,,,,,,,,,,,,,5778,5580,,11358,,,,,,,,,,,,,0,13787,,13787,,,,,,,,,,,,,,,,,117984,102109,,743523,963616
2004,238333,00383500,Beloit College,WI,NCAA Division III (with football),,1,NCAA,523,778,1301,,,,,,,,,45785,,,45785,84740,54250,,138990,,,,,,,,,40097,42367,,82464,,,,,,,,,,,,,,,,,197811,,,197811,13916,11096,,25012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63979,26222,,90201,,50277,,50277,,,,,,,,,8592,14496,,23088,,,,,,,,,,,,,16134,25157,,41291,,,,,,,,,,,,,,45882,,45882,,,,,,,,,,,,,,,,,471054,269747,,381651,1122452
2005,238333,00383500,Beloit College,WI,NCAA Division III (with football),,1,NCAA,544,786,1330,,,,,,,,,66126,,,66126,97314,66687,,164001,,,,,,,,,56852,56852,,113704,,,,,,,,,,,,,,,,,237979,,,237979,8489,8489,,16978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70856,17389,,88245,,66293,,66293,,,,,,,,,12564,12564,,25128,,,,,,,,,,,,,19571,8998,,28569,,,,,,,,,,,,,,29814,,29814,,,,,,,,,,,,,,,,,569751,267086,,467710,1304547
2006,238333,00383500,Beloit College,WI,NCAA Division III (with football),,1,NCAA,532,761,1293,,,,,,,,,69399,,,69399,101415,65892,,167307,,,,,,,,,60306,60306,,120612,,,,,,,,,,,,,,,,,229996,,,229996,9910,5578,,15488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70906,54260,,125166,,49511,,49511,,,,,,,,,12756,12756,,25512,,,,,,,,,,,,,19798,9805,,29603,,,,,,,,,,,,,,44656,,44656,,,,,,,,,,,,,,,,,574486,302764,,469281,1346531
2007,238333,00383500,Beloit College,WI,NCAA Division III (with football),,1,NCAA,555,741,1296,,,,,,,,,71897,,,71897,65953,75834,,141787,,,,,,,,,52023,52023,,104046,,,,,,,,,,,,,,,,,214636,,,214636,15125,14458,,29583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79309,54428,,133737,,72631,,72631,,,,,,,,,13364,13364,,26728,,,,,,,,,,,,,11347,6483,,17830,,,,,,,,,,,,,,71417,,71417,,,,,,,,,,,,,,,,,523654,360638,,553731,1438023
2008,238333,00383500,Beloit College,WI,NCAA Division III (with football),,1,NCAA,561,727,1288,,,,,,,,,74799,,,74799,66232,87260,,153492,,,,,,,,,56850,57467,,114317,,,,,,,,,,,,,,,,,220661,,,220661,16264,,,16264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84455,53463,,137918,,80108,,80108,,,,,,,,,12323,15155,,27478,,,,,,,,,,,,,14337,7684,,22021,,,,,,,,,,,,,,80826,,80826,,,,,,,,,,,,,,,,,545921,381963,,495741,1423625
2009,238333,00383500,Beloit College,WI,NCAA Division III (with football),,1,NCAA,567,749,1316,,,,,,,,,67453,,,67453,66414,84975,,151389,,,,,,,,,59424,51800,,111224,,,,,,,,,,,,,,,,,237580,,,237580,18344,,,18344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85659,56061,,141720,,76218,,76218,,,,,,,,,15139,21268,,36407,,,,,,,,,,,,,16514,9560,,26074,,,,,,,,,,,,,,78250,,78250,,,,,,,,,,,,,,,,,566527,378132,,505041,1449700
2010,238333,00383500,Beloit College,WI,NCAA Division III (with football),,1,NCAA,560,741,1301,,,,,,,,,92342,,,92342,84191,59714,,143905,,,,,,,,,64110,55019,,119129,,,,,,,,,,,,,,,,,222496,,,222496,16455,,,16455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80023,56062,,136085,,89128,,89128,,,,,,,,,16246,16846,,33092,,,,,,,,,,,,,,9553,,9553,,,,,,,,,,,,,,91932,,91932,,,,,,,,,,,,,,,,,575863,378254,,485676,1439793
2011,238333,00383500,Beloit College,WI,NCAA Division III (with football),,1,NCAA,543,752,1295,,,,,,,,,136083,,,136083,81086,65820,,146906,,,,,,,,,70999,69444,,140443,,,,,,,,,,,,,,,,,311615,,,311615,19113,,,19113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105327,70337,,175664,,113290,,113290,,,,,16693,23838,,40531,,,,,,,,,,,,,,,,,,10198,,10198,,,,,,,,,,,,,,74725,,74725,,,,,,,,,,,,,,,,,740916,427652,,1031019,2199587
2012,238333,00383500,Beloit College,WI,NCAA Division III (with football),,1,NCAA,507,735,1242,,,,,,,,,133523,,,133523,101336,71208,,172544,,,,,,,,,71381,77414,,148795,,,,,,,,,,,,,,,,,257010,,,257010,,,,,,,,,,,,,121256,76260,,197516,,,,,,,,,,,,,,,,,,,,,86622,71603,,158225,,106490,,106490,,,,,33111,36000,,69111,,,,,,,,,,,,,,,,,,11497,,11497,,,,,,,,,,,,,,82083,,82083,,,,,,,,,,,,,,,,,804239,532555,,586647,1923441
