#,Player,GP,GS,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0
#,Player,GP,GS,MIN,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG
3.0,"Taylor, Jack 03 Taylor, Jack",12,5.0,198,136,335,0.406,75,228,0.329,89,109,0.817,436,36.3
11.0,"Lentsch, Griffin 11 Lentsch, Griffin",23,14.0,447,141,363,0.388,62,213,0.291,99,114,0.868,443,19.3
10.0,"Maher, Patrick 10 Maher, Patrick",22,16.0,373,78,183,0.426,27,73,0.37,93,122,0.762,276,12.5
2.0,"Yeager, Luke 02 Yeager, Luke",23,6.0,364,103,256,0.402,53,166,0.319,36,47,0.766,295,12.8
23.0,"Levin, Aaron 23 Levin, Aaron",22,4.0,298,71,179,0.397,50,139,0.36,19,28,0.679,211,9.6
42.0,"Ney, Jesse 42 Ney, Jesse",22,5.0,300,61,142,0.43,56,132,0.424,2,5,0.4,180,8.2
45.0,"Adams, Jack 45 Adams, Jack",22,14.0,275,40,55,0.727,1,3,0.333,8,17,0.471,89,4.0
5.0,"Rogers, Joe 05 Rogers, Joe",23,9.0,341,30,47,0.638,0,1,0.0,38,56,0.679,98,4.3
44.0,"Zachary, Tague 44 Zachary, Tague",22,9.0,238,32,83,0.386,29,78,0.372,10,13,0.769,103,4.7
24.0,"Bellamy, Dominique 24 Bellamy, Dominique",23,11.0,298,28,87,0.322,10,57,0.175,16,20,0.8,82,3.6
12.0,"Valdez, Marques 12 Valdez, Marques",23,9.0,342,28,47,0.596,0,0,0.0,25,40,0.625,81,3.5
33.0,"McManamy, Brian 33 McManamy, Brian",22,3.0,305,26,56,0.464,21,47,0.447,10,14,0.714,83,3.8
4.0,"Nitz, Garrett 04 Nitz, Garrett",23,2.0,236,19,43,0.442,3,14,0.214,22,31,0.71,63,2.7
22.0,"Johnson, Evan 22 Johnson, Evan",22,1.0,173,15,57,0.263,13,54,0.241,5,9,0.556,48,2.2
35.0,"Olson, Cody 35 Olson, Cody",22,5.0,192,10,15,0.667,3,7,0.429,2,7,0.286,25,1.1
15.0,"Bartuch, Dylan 15 Bartuch, Dylan",21,0.0,152,12,18,0.667,5,9,0.556,4,9,0.444,33,1.6
54.0,"Davis, Ryan 54 Davis, Ryan",14,1.0,37,4,5,0.8,0,0,0.0,0,2,0.0,8,0.6
13.0,"Pollick, Joel 13 Pollick, Joel",9,1.0,9,1,8,0.125,1,4,0.25,0,1,0.0,3,0.3
13.0,"Abbe-Schneider, Leo 13 Abbe-Schneider, Leo",8,0.0,23,2,4,0.5,0,0,0.0,1,2,0.5,5,0.6
13.0,"Gardner, Hayes 13 Gardner, Hayes",4,0.0,5,0,2,0.0,0,2,0.0,0,0,0.0,0,0.0
25.0,"LaMacchia, Anthony 25 LaMacchia, Anthony",13,0.0,26,3,7,0.429,3,7,0.429,2,3,0.667,11,0.8
21.0,"LeMoine, Brent 21 LeMoine, Brent",12,0.0,18,3,4,0.75,1,2,0.5,4,6,0.667,11,0.9
,Total,23,,4650,843,1996,0.422,413,1236,0.334,485,655,0.74,2584,112.35
,Opponents,23,,4650,813,1479,0.55,68,173,0.393,519,766,0.678,2213,96.22
