#,Player,GP,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0
#,Player,GP,MIN,FG%,3PT%,FT%,OREB,DREB,REB,AST,STL,BLK,PTS
3.0,"Taylor, Jack 03 Taylor, Jack",12,16.5,0.406,0.329,0.817,0.6,0.7,1.3,2.8,1.8,0.0,36.3
11.0,"Lentsch, Griffin 11 Lentsch, Griffin",23,19.4,0.388,0.291,0.868,1.4,0.6,2.0,1.1,0.3,0.0,19.3
10.0,"Maher, Patrick 10 Maher, Patrick",22,17.0,0.426,0.37,0.762,1.4,2.0,3.5,5.7,2.2,0.0,12.5
2.0,"Yeager, Luke 02 Yeager, Luke",23,15.8,0.402,0.319,0.766,0.6,0.6,1.2,2.6,1.4,0.0,12.8
23.0,"Levin, Aaron 23 Levin, Aaron",22,13.5,0.397,0.36,0.679,1.3,2.4,3.7,0.8,0.8,0.4,9.6
42.0,"Ney, Jesse 42 Ney, Jesse",22,13.6,0.43,0.424,0.4,0.9,1.0,2.0,0.6,0.8,0.0,8.2
45.0,"Adams, Jack 45 Adams, Jack",22,12.5,0.727,0.333,0.471,0.8,1.6,2.5,0.5,0.5,1.5,4.0
5.0,"Rogers, Joe 05 Rogers, Joe",23,14.8,0.638,0.0,0.679,1.9,2.4,4.3,1.3,1.2,0.0,4.3
44.0,"Zachary, Tague 44 Zachary, Tague",22,10.8,0.386,0.372,0.769,0.8,0.8,1.6,0.3,0.6,0.4,4.7
24.0,"Bellamy, Dominique 24 Bellamy, Dominique",23,13.0,0.322,0.175,0.8,1.1,1.0,2.1,0.7,1.7,0.3,3.6
12.0,"Valdez, Marques 12 Valdez, Marques",23,14.9,0.596,0.0,0.625,3.2,1.7,4.8,0.6,1.6,0.1,3.5
33.0,"McManamy, Brian 33 McManamy, Brian",22,13.9,0.464,0.447,0.714,1.0,2.6,3.6,0.5,0.8,1.5,3.8
4.0,"Nitz, Garrett 04 Nitz, Garrett",23,10.3,0.442,0.214,0.71,0.5,0.8,1.3,2.8,0.7,0.0,2.7
22.0,"Johnson, Evan 22 Johnson, Evan",22,7.9,0.263,0.241,0.556,0.5,0.3,0.7,0.4,0.5,0.0,2.2
35.0,"Olson, Cody 35 Olson, Cody",22,8.7,0.667,0.429,0.286,0.8,0.6,1.4,0.3,0.6,0.0,1.1
15.0,"Bartuch, Dylan 15 Bartuch, Dylan",21,7.2,0.667,0.556,0.444,0.4,0.4,0.9,0.5,0.6,0.0,1.6
54.0,"Davis, Ryan 54 Davis, Ryan",14,2.6,0.8,0.0,0.0,0.4,0.2,0.6,0.0,0.1,0.0,0.6
13.0,"Pollick, Joel 13 Pollick, Joel",9,1.0,0.125,0.25,0.0,0.2,0.0,0.2,0.0,0.1,0.0,0.3
13.0,"Abbe-Schneider, Leo 13 Abbe-Schneider, Leo",8,2.9,0.5,0.0,0.5,0.3,0.0,0.3,0.0,0.3,0.0,0.6
13.0,"Gardner, Hayes 13 Gardner, Hayes",4,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,"LaMacchia, Anthony 25 LaMacchia, Anthony",13,2.0,0.429,0.429,0.667,0.2,0.0,0.2,0.1,0.0,0.0,0.8
21.0,"LeMoine, Brent 21 LeMoine, Brent",12,1.5,0.75,0.5,0.667,0.3,0.4,0.8,0.0,0.1,0.0,0.9
,Total,23,202.2,0.422,0.334,0.74,19.5,21.0,40.5,19.7,15.4,4.2,112.35
,Opponents,23,202.2,0.55,0.393,0.678,14.3,34.7,49.0,19.4,7.4,3.2,96.22
