Name,GP,3PM,3PA,3P%,3PM/G,3PA/G
"#03 Taylor, Jack",12,75,228,0.329,6.3,19.0
"#11 Lentsch, Griffin",23,62,213,0.291,2.7,9.3
"#42 Ney, Jesse",22,56,132,0.424,2.5,6.0
"#02 Yeager, Luke",23,53,166,0.319,2.3,7.2
"#23 Levin, Aaron",22,50,139,0.36,2.3,6.3
"#44 Zachary, Tague",22,29,78,0.372,1.3,3.5
"#10 Maher, Patrick",22,27,73,0.37,1.2,3.3
"#33 McManamy, Brian",22,21,47,0.447,1.0,2.1
"#22 Johnson, Evan",22,13,54,0.241,0.6,2.5
"#24 Bellamy, Dominique",23,10,57,0.175,0.4,2.5
"#15 Bartuch, Dylan",21,5,9,0.556,0.2,0.4
"#25 LaMacchia, Anthony",13,3,7,0.429,0.2,0.5
"#04 Nitz, Garrett",23,3,14,0.214,0.1,0.6
"#35 Olson, Cody",22,3,7,0.429,0.1,0.3
"#45 Adams, Jack",22,1,3,0.333,0.0,0.1
"#21 LeMoine, Brent",12,1,2,0.5,0.1,0.2
"#13 Pollick, Joel",9,1,4,0.25,0.1,0.4
"#13 Gardner, Hayes",4,0,2,0.0,0.0,0.5
"#05 Rogers, Joe",23,0,1,0.0,0.0,0.0
