Name,GP,MIN,MIN/G
"#11 Lentsch, Griffin",23,447,19.4
"#10 Maher, Patrick",22,373,17.0
"#02 Yeager, Luke",23,364,15.8
"#12 Valdez, Marques",23,342,14.9
"#05 Rogers, Joe",23,341,14.8
"#33 McManamy, Brian",22,305,13.9
"#42 Ney, Jesse",22,300,13.6
"#24 Bellamy, Dominique",23,298,13.0
"#23 Levin, Aaron",22,298,13.5
"#45 Adams, Jack",22,275,12.5
"#44 Zachary, Tague",22,238,10.8
"#04 Nitz, Garrett",23,236,10.3
"#03 Taylor, Jack",12,198,16.5
"#35 Olson, Cody",22,192,8.7
"#22 Johnson, Evan",22,173,7.9
"#15 Bartuch, Dylan",21,152,7.2
"#54 Davis, Ryan",14,37,2.6
"#25 LaMacchia, Anthony",13,26,2.0
"#13 Abbe-Schneider, Leo",8,23,2.9
"#21 LeMoine, Brent",12,18,1.5
"#13 Pollick, Joel",9,9,1.0
"#13 Gardner, Hayes",4,5,1.3
