Name,GP,AST,AST/G
"#10 Maher, Patrick",22,125,5.7
"#04 Nitz, Garrett",23,65,2.8
"#02 Yeager, Luke",23,60,2.6
"#03 Taylor, Jack",12,33,2.8
"#05 Rogers, Joe",23,31,1.3
"#11 Lentsch, Griffin",23,26,1.1
"#24 Bellamy, Dominique",23,17,0.7
"#23 Levin, Aaron",22,17,0.8
"#42 Ney, Jesse",22,14,0.6
"#12 Valdez, Marques",23,14,0.6
"#15 Bartuch, Dylan",21,11,0.5
"#45 Adams, Jack",22,10,0.5
"#33 McManamy, Brian",22,10,0.5
"#22 Johnson, Evan",22,8,0.4
"#35 Olson, Cody",22,6,0.3
"#44 Zachary, Tague",22,6,0.3
"#25 LaMacchia, Anthony",13,1,0.1
