Name,GP,FGM,FGA,FG%,FGM/G,FGA/G
"#11 Lentsch, Griffin",23,141,363,0.388,6.1,15.8
"#03 Taylor, Jack",12,136,335,0.406,11.3,27.9
"#02 Yeager, Luke",23,103,256,0.402,4.5,11.1
"#10 Maher, Patrick",22,78,183,0.426,3.5,8.3
"#23 Levin, Aaron",22,71,179,0.397,3.2,8.1
"#42 Ney, Jesse",22,61,142,0.43,2.8,6.5
"#45 Adams, Jack",22,40,55,0.727,1.8,2.5
"#44 Zachary, Tague",22,32,83,0.386,1.5,3.8
"#05 Rogers, Joe",23,30,47,0.638,1.3,2.0
"#24 Bellamy, Dominique",23,28,87,0.322,1.2,3.8
"#12 Valdez, Marques",23,28,47,0.596,1.2,2.0
"#33 McManamy, Brian",22,26,56,0.464,1.2,2.5
"#04 Nitz, Garrett",23,19,43,0.442,0.8,1.9
"#22 Johnson, Evan",22,15,57,0.263,0.7,2.6
"#15 Bartuch, Dylan",21,12,18,0.667,0.6,0.9
"#35 Olson, Cody",22,10,15,0.667,0.5,0.7
"#54 Davis, Ryan",14,4,5,0.8,0.3,0.4
"#25 LaMacchia, Anthony",13,3,7,0.429,0.2,0.5
"#21 LeMoine, Brent",12,3,4,0.75,0.3,0.3
"#13 Abbe-Schneider, Leo",8,2,4,0.5,0.3,0.5
"#13 Pollick, Joel",9,1,8,0.125,0.1,0.9
"#13 Gardner, Hayes",4,0,2,0.0,0.0,0.5
