Name,GP,AST,TO,AST/TO Ratio
"#33 McManamy, Brian",22,10,3,3.33
"#10 Maher, Patrick",22,125,45,2.78
"#44 Zachary, Tague",22,6,3,2.0
"#15 Bartuch, Dylan",21,11,11,1.0
"#11 Lentsch, Griffin",23,26,22,1.18
"#23 Levin, Aaron",22,17,11,1.55
"#42 Ney, Jesse",22,14,12,1.17
"#04 Nitz, Garrett",23,65,34,1.91
"#05 Rogers, Joe",23,31,16,1.94
"#02 Yeager, Luke",23,60,47,1.28
