Opponent,Date,Score,MAR,FG,FG PCT,3FG,3FG PCT,FT,FT PCT,RB,AST,TO,BLK,STL,PF
Rockford College,11/16/12,130-101,29,41-103/38-71,.398/.535,19-65/1-1,.292/1.000,29-38/24-44,.763-.545,55/55 0,21/13,28/36,10/1,21/15,31/27
Crown College,11/17/12,111-100,11,28-87/41-72,.322/.569,15-64/8-18,.234/.444,40-52/10-18,.769-.556,42/59 -17,16/25,19/42,2/1,24/9,24/31
Faith Baptist Bible,11/20/12,179-104,75,68-136/50-82,.500/.610,30-80/0-6,.375/.000,13-16/4-8,.813-.500,59/45 14,22/28,17/49,4/4,29/9,14/16
William Penn Univ.,11/25/12,116-131,-15,38-113/50-80,.336/.625,18-65/6-14,.277/.429,22-29/25-39,.759-.641,54/70 -16,16/23,21/36,0/11,17/14,30/30
Knox College,11/28/12,113-76,37,39-93/30-54,.419/.556,19-62/0-4,.306/.000,16-21/16-23,.762-.696,39/44 -5,24/14,11/33,4/2,15/3,20/19
Ripon College,12/01/12,134-97,37,44-91/34-65,.484/.523,21-61/3-7,.344/.429,25-35/26-41,.714-.634,49/42 7,18/15,16/28,3/4,16/8,32/25
Monmouth College,12/04/12,107-99,8,35-78/37-60,.449/.617,20-53/0-3,.377/.000,17-26/25-32,.654-.781,37/37 0,30/20,16/24,3/1,15/8,24/21
St. Norbert College,12/08/12,105-94,11,29-62/34-65,.468/.523,15-33/1-5,.455/.200,32-37/25-36,.865-.694,25/47 -22,13/22,14/22,3/4,8/4,27/25
Illinois College,12/11/12,114-123,-9,36-85/42-68,.424/.618,14-54/13-23,.259/.565,28-38/26-39,.737-.667,32/52 -20,17/27,12/30,5/1,15/6,29/28
Beloit College,01/02/13,128-86,42,43-88/31-52,.489/.596,18-46/0-1,.391/.000,24-34/24-37,.706-.649,42/39 3,14/14,13/32,3/3,16/5,28/28
Carroll University,01/05/13,110-119,-9,35-98/38-65,.357/.585,16-60/0-0,.267/NaN,24-36/43-62,.667-.694,42/65 -23,12/26,11/27,2/7,18/4,43/25
Cornell College,01/09/13,119-117,2,41-92/40-67,.446/.597,15-49/2-4,.306/.500,22-30/35-43,.733-.814,30/56 -26,11/26,13/32,4/2,17/9,29/27
Lawrence University,01/12/13,90-74,16,26-67/26-49,.388/.531,14-42/3-12,.333/.250,24-26/19-30,.923-.633,34/36 -2,16/14,17/27,4/3,16/9,23/20
Illinois College,01/15/13,106-102,4,37-71/35-72,.521/.486,15-37/9-21,.405/.429,17-22/23-26,.773-.885,36/40 -4,21/21,13/14,3/3,10/7,24/17
Ripon College,01/19/13,93-103,-10,32-91/43-79,.352/.544,24-69/1-4,.348/.250,5-11/16-23,.455-.696,37/66 -29,24/25,15/21,4/2,11/6,23/15
Monmouth College,01/23/13,93-67,26,34-85/24-71,.400/.338,15-53/0-6,.283/.000,10-16/19-30,.625-.633,48/62 -14,25/9,10/25,6/3,16/7,23/17
Lake Forest College,01/26/13,100-62,38,35-71/27-49,.493/.551,23-49/1-2,.469/.500,7-8/7-12,.875-.583,34/29 5,28/8,10/22,4/1,12/5,17/13
Knox College,01/29/13,136-65,71,44-97/19-52,.454/.365,31-72/0-3,.431/.000,17-24/27-40,.708-.675,44/55 -11,33/12,8/40,13/2,24/5,25/20
Beloit College,02/02/13,102-98,4,36-93/39-63,.387/.619,19-56/1-2,.339/.500,11-14/19-32,.786-.594,39/52 -13,32/24,15/31,4/3,8/5,26/19
St. Norbert College,02/09/13,104-99,5,30-70/34-60,.429/.567,13-42/2-3,.310/.667,31-39/29-33,.795-.879,35/37 -2,14/20,14/20,4/1,12/8,28/30
Cornell College,02/12/13,99-90,9,32-74/34-65,.432/.523,11-45/7-13,.244/.538,24-36/15-24,.667-.625,37/48 -11,17/17,11/28,7/2,14/6,23/28
Lawrence University,02/16/13,106-114,-8,33-81/37-63,.407/.587,15-41/10-21,.366/.476,25-38/30-44,.658-.682,46/41 5,16/26,18/20,3/5,12/14,30/26
Carroll University,02/22/13,89-92,-3,27-70/30-55,.386/.545,13-38/0-0,.342/NaN,22-29/32-50,.759-.640,35/50 -15,14/17,9/15,2/8,9/4,32/23
