Name,GP,FTM,FTA,FT%,FTM/G,FTA/G
"#11 Lentsch, Griffin",23,99,114,0.868,4.3,5.0
"#10 Maher, Patrick",22,93,122,0.762,4.2,5.5
"#03 Taylor, Jack",12,89,109,0.817,7.4,9.1
"#05 Rogers, Joe",23,38,56,0.679,1.7,2.4
"#02 Yeager, Luke",23,36,47,0.766,1.6,2.0
"#12 Valdez, Marques",23,25,40,0.625,1.1,1.7
"#04 Nitz, Garrett",23,22,31,0.71,1.0,1.3
"#23 Levin, Aaron",22,19,28,0.679,0.9,1.3
"#24 Bellamy, Dominique",23,16,20,0.8,0.7,0.9
"#33 McManamy, Brian",22,10,14,0.714,0.5,0.6
"#44 Zachary, Tague",22,10,13,0.769,0.5,0.6
"#45 Adams, Jack",22,8,17,0.471,0.4,0.8
"#22 Johnson, Evan",22,5,9,0.556,0.2,0.4
"#15 Bartuch, Dylan",21,4,9,0.444,0.2,0.4
"#21 LeMoine, Brent",12,4,6,0.667,0.3,0.5
"#25 LaMacchia, Anthony",13,2,3,0.667,0.2,0.2
"#42 Ney, Jesse",22,2,5,0.4,0.1,0.2
"#35 Olson, Cody",22,2,7,0.286,0.1,0.3
"#13 Abbe-Schneider, Leo",8,1,2,0.5,0.1,0.3
"#54 Davis, Ryan",14,0,2,0.0,0.0,0.1
"#13 Pollick, Joel",9,0,1,0.0,0.0,0.1
