#,Player,GP,GS,Minutes,Minutes,FG,FG,FG,3PT,3PT,3PT,FT,FT,FT,Scoring,Scoring,Rebounds,Rebounds,Rebounds,Rebounds,PF,AST,AST/G,TO,STL,BLK,Bio Link
#,Player,GP,GS,TOT,AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG,OFF,DEF,TOT,AVG,PF,AST,AST/G,TO,STL,BLK,Bio Link
03,"Taylor, Jack 03 Taylor, Jack",8,4.0,118,14.8,67,162,0.414,39,107,0.364,57,72,0.792,230,28.8,2,1,3,0.4,9,20,2.5,17,10,0,View Bio
11,"Lentsch, Griffin 11 Lentsch, Griffin",18,11.0,355,19.7,106,271,0.391,46,158,0.291,81,94,0.862,339,18.8,31,11,42,2.3,11,25,1.4,17,6,1,View Bio
02,"Yeager, Luke 02 Yeager, Luke",18,3.0,290,16.1,89,217,0.41,41,134,0.306,35,45,0.778,254,14.1,11,10,21,1.2,37,49,2.7,38,21,0,View Bio
10,"Maher, Patrick 10 Maher, Patrick",17,11.0,287,16.9,55,129,0.426,22,59,0.373,62,83,0.747,194,11.4,18,32,50,2.9,29,101,5.9,35,35,1,View Bio
23,"Levin, Aaron 23 Levin, Aaron",17,4.0,230,13.5,52,140,0.371,40,115,0.348,12,20,0.6,156,9.2,16,45,61,3.6,30,13,0.8,7,8,7,View Bio
42,"Ney, Jesse 42 Ney, Jesse",17,3.0,234,13.8,52,114,0.456,47,107,0.439,2,5,0.4,153,9.0,12,17,29,1.7,32,12,0.7,12,15,1,View Bio
45,"Adams, Jack 45 Adams, Jack",17,10.0,215,12.6,36,47,0.766,0,2,0.0,6,10,0.6,78,4.6,13,28,41,2.4,37,7,0.4,14,6,24,View Bio
24,"Bellamy, Dominique 24 Bellamy, Dominique",18,10.0,239,13.3,26,78,0.333,10,51,0.196,14,18,0.778,76,4.2,18,19,37,2.1,55,13,0.7,14,31,7,View Bio
44,"Zachary, Tague 44 Zachary, Tague",17,8.0,176,10.4,26,68,0.382,23,64,0.359,7,9,0.778,82,4.8,9,9,18,1.1,15,5,0.3,1,8,7,View Bio
05,"Rogers, Joe 05 Rogers, Joe",18,4.0,274,15.2,26,40,0.65,0,1,0.0,28,42,0.667,80,4.4,32,43,75,4.2,30,25,1.4,13,18,1,View Bio
33,"McManamy, Brian 33 McManamy, Brian",17,3.0,249,14.6,25,51,0.49,21,44,0.477,6,8,0.75,77,4.5,19,43,62,3.6,29,5,0.3,2,15,29,View Bio
12,"Valdez, Marques 12 Valdez, Marques",18,9.0,269,14.9,23,38,0.605,0,0,0.0,17,29,0.586,63,3.5,50,29,79,4.4,48,12,0.7,15,30,1,View Bio
04,"Nitz, Garrett 04 Nitz, Garrett",18,2.0,199,11.1,15,36,0.417,3,12,0.25,18,26,0.692,51,2.8,8,14,22,1.2,23,58,3.2,27,12,0,View Bio
22,"Johnson, Evan 22 Johnson, Evan",17,1.0,136,8.0,15,44,0.341,13,41,0.317,1,3,0.333,44,2.6,8,5,13,0.8,21,7,0.4,7,12,0,View Bio
35,"Olson, Cody 35 Olson, Cody",17,5.0,164,9.6,9,14,0.643,3,7,0.429,2,6,0.333,23,1.4,15,13,28,1.6,42,5,0.3,7,12,0,View Bio
15,"Bartuch, Dylan 15 Bartuch, Dylan",16,0.0,124,7.8,9,13,0.692,5,8,0.625,4,9,0.444,27,1.7,7,8,15,0.9,7,7,0.4,4,13,0,View Bio
25,"LaMacchia, Anthony 25 LaMacchia, Anthony",10,0.0,21,2.1,3,6,0.5,3,6,0.5,2,3,0.667,11,1.1,2,0,2,0.2,0,1,0.1,0,0,0,View Bio
54,"Davis, Ryan 54 Davis, Ryan",10,1.0,25,2.5,4,5,0.8,0,0,0.0,0,0,0.0,8,0.8,2,1,3,0.3,6,0,0.0,1,0,0,View Bio
13,"Pollick, Joel 13 Pollick, Joel",8,1.0,8,1.0,1,8,0.125,1,4,0.25,0,1,0.0,3,0.4,1,0,1,0.1,1,0,0.0,0,1,0,View Bio
13,"Abbe-Schneider, Leo 13 Abbe-Schneider, Leo",6,0.0,19,3.2,1,2,0.5,0,0,0.0,1,2,0.5,3,0.5,2,0,2,0.3,7,0,0.0,1,2,0,View Bio
13,"Gardner, Hayes 13 Gardner, Hayes",4,0.0,5,1.3,0,2,0.0,0,2,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,View Bio
21,"LeMoine, Brent 21 LeMoine, Brent",9,0.0,13,1.4,1,2,0.5,1,2,0.5,4,6,0.667,7,0.8,3,5,8,0.9,5,0,0.0,1,0,0,View Bio
TM,Team  TM Team,18,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,35,39,74,4.1,0,0,0.0,4,0,0,
,Total,18,,3650,202.8,641,1487,0.431,318,924,0.344,359,491,0.731,1959,108.83,314,372,686,38.1,474,365,20.3,237,255,79,
,Opponents,18,,3650,202.8,604,1119,0.54,53,134,0.396,424,607,0.699,1685,93.61,245,603,848,47.1,403,340,18.9,476,119,49,
