Statistic,High,Opponent
POINTS,179,Faith Baptist Bible (11/20/12)
FIELD GOALS MADE,68,Faith Baptist Bible (11/20/12)
FIELD GOAL ATTEMPTS,136,Faith Baptist Bible (11/20/12)
3 PT FIELD GOALS MADE,31,Knox College (01/29/13)
3 PT FG ATTEMPTS,80,Faith Baptist Bible (11/20/12)
FREE THROWS MADE,40,Crown College (11/17/12)
FREE THROW ATTEMPTS,52,Crown College (11/17/12)
REBOUNDS,59,Faith Baptist Bible (11/20/12)
ASSISTS,33,Knox College (01/29/13)
STEALS,29,Faith Baptist Bible (11/20/12)
BLOCKED SHOTS,13,Knox College (01/29/13)
TURNOVERS,28,Rockford College (11/16/12)
FOULS,43,Carroll University (01/05/13)
