Name,GP,REB,AVG/G,OFF,OFF/G,DEF,DEF/G
"#12 Valdez, Marques",23,111,4.8,73,3.2,38,1.7
"#05 Rogers, Joe",23,100,4.3,44,1.9,56,2.4
#TM Team,23,96,4.2,53,2.3,43,1.9
"#23 Levin, Aaron",22,81,3.7,28,1.3,53,2.4
"#33 McManamy, Brian",22,80,3.6,23,1.0,57,2.6
"#10 Maher, Patrick",22,76,3.5,31,1.4,45,2.0
"#45 Adams, Jack",22,54,2.5,18,0.8,36,1.6
"#24 Bellamy, Dominique",23,49,2.1,25,1.1,24,1.0
"#11 Lentsch, Griffin",23,45,2.0,32,1.4,13,0.6
"#42 Ney, Jesse",22,43,2.0,20,0.9,23,1.0
"#44 Zachary, Tague",22,36,1.6,18,0.8,18,0.8
"#35 Olson, Cody",22,31,1.4,17,0.8,14,0.6
"#04 Nitz, Garrett",23,30,1.3,11,0.5,19,0.8
"#02 Yeager, Luke",23,27,1.2,14,0.6,13,0.6
"#15 Bartuch, Dylan",21,18,0.9,9,0.4,9,0.4
"#22 Johnson, Evan",22,16,0.7,10,0.5,6,0.3
"#03 Taylor, Jack",12,15,1.3,7,0.6,8,0.7
"#21 LeMoine, Brent",12,9,0.8,4,0.3,5,0.4
"#54 Davis, Ryan",14,8,0.6,5,0.4,3,0.2
"#13 Abbe-Schneider, Leo",8,2,0.3,2,0.3,0,0.0
"#25 LaMacchia, Anthony",13,2,0.2,2,0.2,0,0.0
"#13 Pollick, Joel",9,2,0.2,2,0.2,0,0.0
