Name,GP,STL,STL/G
"#10 Maher, Patrick",22,49,2.2
"#24 Bellamy, Dominique",23,39,1.7
"#12 Valdez, Marques",23,37,1.6
"#02 Yeager, Luke",23,32,1.4
"#05 Rogers, Joe",23,28,1.2
"#03 Taylor, Jack",12,22,1.8
"#23 Levin, Aaron",22,18,0.8
"#33 McManamy, Brian",22,18,0.8
"#42 Ney, Jesse",22,18,0.8
"#04 Nitz, Garrett",23,17,0.7
"#35 Olson, Cody",22,14,0.6
"#44 Zachary, Tague",22,14,0.6
"#15 Bartuch, Dylan",21,13,0.6
"#22 Johnson, Evan",22,12,0.5
"#45 Adams, Jack",22,11,0.5
"#11 Lentsch, Griffin",23,8,0.3
"#13 Abbe-Schneider, Leo",8,2,0.3
"#54 Davis, Ryan",14,1,0.1
"#21 LeMoine, Brent",12,1,0.1
"#13 Pollick, Joel",9,1,0.1
