Name,GP,Pts,Pts/G
"#11 Lentsch, Griffin",23,443,19.3
"#03 Taylor, Jack",12,436,36.3
"#02 Yeager, Luke",23,295,12.8
"#10 Maher, Patrick",22,276,12.5
"#23 Levin, Aaron",22,211,9.6
"#42 Ney, Jesse",22,180,8.2
"#44 Zachary, Tague",22,103,4.7
"#05 Rogers, Joe",23,98,4.3
"#45 Adams, Jack",22,89,4.0
"#33 McManamy, Brian",22,83,3.8
"#24 Bellamy, Dominique",23,82,3.6
"#12 Valdez, Marques",23,81,3.5
"#04 Nitz, Garrett",23,63,2.7
"#22 Johnson, Evan",22,48,2.2
"#15 Bartuch, Dylan",21,33,1.6
"#35 Olson, Cody",22,25,1.1
"#25 LaMacchia, Anthony",13,11,0.8
"#21 LeMoine, Brent",12,11,0.9
"#54 Davis, Ryan",14,8,0.6
"#13 Abbe-Schneider, Leo",8,5,0.6
"#13 Pollick, Joel",9,3,0.3
