Name,GP,TO,TO/G
"#02 Yeager, Luke",23,47,2.0
"#10 Maher, Patrick",22,45,2.0
"#03 Taylor, Jack",12,39,3.3
"#04 Nitz, Garrett",23,34,1.5
"#24 Bellamy, Dominique",23,25,1.1
"#11 Lentsch, Griffin",23,22,1.0
"#12 Valdez, Marques",23,21,0.9
"#45 Adams, Jack",22,16,0.7
"#05 Rogers, Joe",23,16,0.7
"#42 Ney, Jesse",22,12,0.5
"#15 Bartuch, Dylan",21,11,0.5
"#23 Levin, Aaron",22,11,0.5
"#22 Johnson, Evan",22,9,0.4
"#35 Olson, Cody",22,9,0.4
#TM Team,23,5,0.2
"#33 McManamy, Brian",22,3,0.1
"#44 Zachary, Tague",22,3,0.1
"#13 Abbe-Schneider, Leo",8,1,0.1
"#54 Davis, Ryan",14,1,0.1
"#21 LeMoine, Brent",12,1,0.1
