Name,GP,PF,PF/G
"#24 Bellamy, Dominique",23,72,3.1
"#12 Valdez, Marques",23,59,2.6
"#35 Olson, Cody",22,48,2.2
"#23 Levin, Aaron",22,45,2.0
"#45 Adams, Jack",22,44,2.0
"#33 McManamy, Brian",22,42,1.9
"#02 Yeager, Luke",23,42,1.8
"#42 Ney, Jesse",22,40,1.8
"#10 Maher, Patrick",22,38,1.7
"#05 Rogers, Joe",23,38,1.7
"#22 Johnson, Evan",22,26,1.2
"#04 Nitz, Garrett",23,26,1.1
"#44 Zachary, Tague",22,18,0.8
"#11 Lentsch, Griffin",23,15,0.7
"#03 Taylor, Jack",12,15,1.3
"#15 Bartuch, Dylan",21,13,0.6
"#13 Abbe-Schneider, Leo",8,8,1.0
"#54 Davis, Ryan",14,8,0.6
"#21 LeMoine, Brent",12,6,0.5
"#13 Pollick, Joel",9,1,0.1
#TM Team,23,1,0.0
