Statistic,Grinnell College,Opponents OPP
Scoring,Scoring,Scoring
Total Points TOT,2584,2213
Points Per Game PPG,112.3,96.2
Scoring Margin Margin,16.1,--
Shooting,Shooting,Shooting
FG: Made-Attempted FGM-FGA,843-1996,813-1479
FG: Percentage FG%,.422,.550
FG: Per Game FGM/G,36.7,35.3
3PT: Made-Attempted 3PT-3PA,413-1236,68-173
3PT: Percentage 3PT%,.334,.393
3PT: Per Game 3PT/G,18.0,3.0
FT: Made-Attempted FTM-FTA,485-655,519-766
FT: Percentage FT%,.740,.678
FT: Per Game FT/G,21.1,22.6
Rebounding,Rebounding,Rebounding
Total TOT,931,1127
Per Game RPG,40.5,49.0
Margin,-8.5,--
Assists,Assists,Assists
Total TOT,454,446
Per Game APG,19.7,19.4
Turnovers,Turnovers,Turnovers
Total TOT,331,654
Per Game TO/G,14.4,28.4
Margin,14.0,--
Assist/Turnover Ratio A/TO,1.4,0.7
Points Off Turnovers PTS OFF TO,34.0,15.3
Steals,Steals,Steals
Total TOT,355,170
Per Game STL/G,15.4,7.4
Blocks,Blocks,Blocks
Total TOT,97,74
Per Game BLK/G,4.2,3.2
Attendance,Attendance,Attendance
Total TOT,9299,12642
Per Game AVG,11-845,"9-1,405"
