Opponent,Date,Score,W/L,FGM/A,PCT,3FG/A,PCT.1,FTM/A,PCT.2,OFF,DEF,TOT,AVG,PF,AST,TO,BLK,STL,PTS,AVG.1
vs Rockford College,11/16/12,130-101,W,41-103,0.398,19-65,0.292,29-38,0.763,31,24,55,55.0,31,21,28,10,21,130,130.0
at Crown College,11/17/12,111-100,W,28-87,0.322,15-64,0.234,40-52,0.769,22,20,42,48.5,24,16,19,2,24,111,120.5
vs Faith Baptist Bible,11/20/12,179-104,W,68-136,0.5,30-80,0.375,13-16,0.813,37,22,59,52.0,14,22,17,4,29,179,140.0
vs William Penn Univ.,11/25/12,116-131,L,38-113,0.336,18-65,0.277,22-29,0.759,29,25,54,52.5,30,16,21,0,17,116,134.0
at Knox College,11/28/12,113-76,W,39-93,0.419,19-62,0.306,16-21,0.762,22,17,39,49.8,20,24,11,4,15,113,129.8
vs Ripon College,12/01/12,134-97,W,44-91,0.484,21-61,0.344,25-35,0.714,17,32,49,49.7,32,18,16,3,16,134,130.5
at Monmouth College,12/04/12,107-99,W,35-78,0.449,20-53,0.377,17-26,0.654,21,16,37,47.9,24,30,16,3,15,107,127.1
at St. Norbert College,12/08/12,105-94,W,29-62,0.468,15-33,0.455,32-37,0.865,6,19,25,45.0,27,13,14,3,8,105,124.4
vs Illinois College,12/11/12,114-123,L,36-85,0.424,14-54,0.259,28-38,0.737,13,19,32,43.6,29,17,12,5,15,114,123.2
vs Beloit College,01/02/13,128-86,W,43-88,0.489,18-46,0.391,24-34,0.706,20,22,42,43.4,28,14,13,3,16,128,123.7
at Carroll University,01/05/13,110-119,L,35-98,0.357,16-60,0.267,24-36,0.667,22,20,42,43.3,43,12,11,2,18,110,122.5
at Cornell College,01/09/13,119-117,W,41-92,0.446,15-49,0.306,22-30,0.733,16,14,30,42.2,29,11,13,4,17,119,122.2
vs Lawrence University,01/12/13,90-74,W,26-67,0.388,14-42,0.333,24-26,0.923,18,16,34,41.5,23,16,17,4,16,90,119.7
at Illinois College,01/15/13,106-102,W,37-71,0.521,15-37,0.405,17-22,0.773,15,21,36,41.1,24,21,13,3,10,106,118.7
at Ripon College,01/19/13,93-103,L,32-91,0.352,24-69,0.348,5-11,0.455,19,18,37,40.9,23,24,15,4,11,93,117.0
vs Monmouth College,01/23/13,93-67,W,34-85,0.4,15-53,0.283,10-16,0.625,19,29,48,41.3,23,25,10,6,16,93,115.5
vs Lake Forest College,01/26/13,100-62,W,35-71,0.493,23-49,0.469,7-8,0.875,13,21,34,40.9,17,28,10,4,12,100,114.6
vs Knox College,01/29/13,136-65,W,44-97,0.454,31-72,0.431,17-24,0.708,22,22,44,41.1,25,33,8,13,24,136,115.8
at Beloit College,02/02/13,102-98,W,36-93,0.387,19-56,0.339,11-14,0.786,18,21,39,40.9,26,32,15,4,8,102,115.1
vs St. Norbert College,02/09/13,104-99,W (OT),30-70,0.429,13-42,0.31,31-39,0.795,17,18,35,40.7,28,14,14,4,12,104,114.5
vs Cornell College,02/12/13,99-90,W,32-74,0.432,11-45,0.244,24-36,0.667,15,22,37,40.5,23,17,11,7,14,99,113.8
at Lawrence University,02/16/13,106-114,L (OT),33-81,0.407,15-41,0.366,25-38,0.658,21,25,46,40.7,30,16,18,3,12,106,113.4
vs Carroll University,02/22/13,89-92,L,27-70,0.386,13-38,0.342,22-29,0.759,15,20,35,40.5,32,14,9,2,9,89,112.3
Grinnell College,,-,,843-1996,0.422,413-1236,0.334,485-655,0.74,448,483,931,40.5,605,454,331,97,355,2584,112.3
Opponents,,-,,813-1479,0.55,68-173,0.393,519-766,0.678,329,798,1127,49.0,530,446,654,74,170,2213,96.2
