0,1,2,3,4
,,,Low,
Season,Rounds,Strokes,Round,Average
2020-21,4,346,82,86.5
2021-22,13,1089,77,83.8
2022-23,15,1209,75,80.6
2023-24,20,1588,70,79.4
Totals,52,4232,70,81.4
