Date,Time,At,Opponent,Location,TV,Radio,Tournament,Result,Links
"August 30, 2012 (Thursday)",4:30 p.m.,Home,Augustana College (IL),"Grinnell, IA/10th Avenue Courts",,,,"W,7-2",RecapBox Score
"September 1, 2012 (Saturday)",9:00 a.m.,Away,University of Wisconsin-Whitewater Invitational,"Whitewater, WI",,,,5th/8 Teams,RecapBox Score
"September 8, 2012 (Saturday)",Noon,Neutral,College of Saint Benedict,"Decorah, IA",,,,"L,4-5",RecapBox Score
"September 8, 2012 (Saturday)",3:00 p.m.,Away,Luther College,"Decorah, IA",,,,"L,1-8",RecapBox Score
"September 15, 2012 (Saturday)",9:30 a.m.,Away,Lake Forest College,"Lake Forest, IL",,,,"L,4-5",RecapBox Score
"September 15, 2012 (Saturday)",1:00 p.m.,Neutral,Carroll University,"Lake Forest, IL",,,,"W,6-3",RecapBox Score
"September 16, 2012 (Sunday)",9:00 a.m.,Away,Knox College,"Galesburg, IL",,,,"W,9-0",RecapBox Score
"September 16, 2012 (Sunday)",12:30 PM,Away,Monmouth College,"Monmouth, IL",,,,"W,9-0",RecapBox Score
"September 16, 2012 (Sunday)",3 p.m.,Neutral,Illinois College,"Monmouth, IL",,,,"W,9-0",RecapBox Score
"September 21, 2012 (Friday)",9:00 a.m.,Away,Gustavus Fall Invite,"St. Peter, MN",,,2012 USTA/ITA Women's Tennis Midwest Regional Championships,No Team Score,RecapResults
"September 21, 2012 (Friday)",9:00 a.m.,Away,ITA Midwest Regional,"St. Peter, MN",,,2012 USTA/ITA Women's Tennis Midwest Regional Championships,No Team Score,RecapResults
"September 30, 2012 (Sunday)",9:30 a.m.,Home,St. Norbert College,"Grinnell, IA/10th Avenue Courts",,,,"W,9-0",RecapBox Score
"October 6, 2012 (Saturday)",9:30 a.m.,Home,Beloit College,"Grinnell, IA/10th Avenue Courts",,,,"W,8-1",RecapBox Score
"October 6, 2012 (Saturday)",3:30 p.m.,Home,Cornell College,"Grinnell, IA/10th Avenue Courts",,,Play For the Cure,"W,9-0",RecapBox Score
"October 11, 2012 (Thursday)",TBA,Neutral,USTA/ITA National Small College Championships,"Mobile, AL",,,,Laura Krull '13 finishes 6th,RecapResults
"October 12, 2012 (Friday)",8:30 a.m.,Neutral,Carroll University (MWC Tournament Semifinals),"Rockford, IL",,,2012 Midwest Conference Women's Tennis Championships,"W,5-4",RecapBox Score
"October 12, 2012 (Friday)",1:30 p.m.,Neutral,Lake Forest College (MWC Tournament Championship),"Rockford, IL",,,2012 Midwest Conference Women's Tennis Championships,"W,5-3",RecapBox Score
"October 13, 2012 (Saturday)",8:00 a.m.,Neutral,MWC Doubles Tourney,"Madison, WI",,,2012 Midwest Conference Women's Tennis Championships,Grinnell wins 2 titles,RecapResults
"October 14, 2012 (Sunday)",8:00 a.m.,Neutral,MWC Singles Tourney,"Madison, WI",,,2012 Midwest Conference Women's Tennis Championships,Grinnell wins 4 titles,RecapResults
"March 18, 2013 (Monday)",11:00 a.m.,Neutral,William Smith College,"Orlando, FL",,,,"L,3-6",RecapBox Score
"March 18, 2013 (Monday)",4:00 p.m.,Neutral,Oglethorpe University,"Orlando, FL",,,,"W,6-3",RecapBox Score
"March 19, 2013 (Tuesday)",TBA,Neutral,University of Wisconsin-La Crosse,"Orlando, FL",,,,"L,4-5",RecapBox Score
"March 21, 2013 (Thursday)",TBA,Neutral,Hope College,"Orlando, FL",,,,"L,2-7",RecapBox Score
"March 22, 2013 (Friday)",TBA,Neutral,Calvin College,"Orlando, FL",,,,"W,7-2",RecapBox Score
"April 7, 2013 (Sunday)",10:00 a.m.,Away,Coe College,"Cedar Rapids, IA",,,,"L,2-7",RecapBox Score
"April 13, 2013 (Saturday)",2:00 p.m.,Neutral,University of Wisconsin-Whitewater,"Cedar Rapids, IA",,,,"L,2-7",RecapBox Score
"April 18, 2013 (Thursday)",3:30 p.m.,Away,Simpson College,"Indianola, IA",,,,Canceled,
"April 21, 2013 (Sunday)",10:00 a.m.,Home,Saint Ambrose University (Iowa),"Grinnell, IA/10th Avenue Courts",,,,"W,9-0",RecapBox Score
"April 21, 2013 (Sunday)",2:30 p.m.,Home,Wartburg College,"Grinnell, IA/10th Avenue Courts",,,,"W,8-1",RecapBox Score
"May 10, 2013 (Friday)",10:00 a.m.,Neutral,Carleton College,"Chicago, IL",,,2013 NCAA Division III Women's Regional Tennis Championships,"L,1-5",RecapBox Score
"May 23, 2013 (Thursday)",8:00 a.m.,Neutral,NCAA,"Kalamazoo, MI",,,2013 NCAA Division III Women's National Tennis Championships,No Team Score,RecapBox Score
