Name,GP,STL,STL/G
"#10 Gatton, Sophia",23,27,1.2
"#15 Keller, Ariel",23,23,1.0
"#20 Stariha, Lydia",23,20,0.9
"#11 Neckopulos, Alex",23,19,0.8
"#12 Lopez, Haley",23,17,0.7
"#42 Morrissey, Kayla",23,17,0.7
"#21 Norton, Kaitlyn",23,14,0.6
"#23 Greenberg, Leah",23,8,0.3
"#44 Guzzo, Daria",23,7,0.3
"#14 Kasprak, Regan",12,3,0.3
"#13 Kessel, Hanna",12,2,0.2
