Name,GP,BLK,BLK/G
"#42 Morrissey, Kayla",23,23,1.0
"#44 Guzzo, Daria",23,12,0.5
"#12 Lopez, Haley",23,11,0.5
"#11 Neckopulos, Alex",23,10,0.4
"#24 Giles, Margaret",15,7,0.5
"#10 Gatton, Sophia",23,5,0.2
"#21 Norton, Kaitlyn",23,4,0.2
"#20 Stariha, Lydia",23,3,0.1
"#23 Greenberg, Leah",23,1,0.0
"#14 Kasprak, Regan",12,1,0.1
"#15 Keller, Ariel",23,1,0.0
