#,Player,GP,GS,Minutes,Minutes,FG,FG,FG,3PT,3PT,3PT,FT,FT,FT,Scoring,Scoring,Rebounds,Rebounds,Rebounds,Rebounds,PF,AST,AST/G,TO,STL,BLK,Bio Link
#,Player,GP,GS,TOT,AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG,OFF,DEF,TOT,AVG,PF,AST,AST/G,TO,STL,BLK,Bio Link
42,"Morrissey, Kayla 42 Morrissey, Kayla",17,17.0,522,30.7,90,204,0.441,9,31,0.29,93,115,0.809,282,16.6,38,80,118,6.9,25,35,2.1,37,14,18,View Bio
10,"Gatton, Sophia 10 Gatton, Sophia",17,17.0,515,30.3,49,177,0.277,18,73,0.247,18,32,0.563,134,7.9,11,19,30,1.8,43,46,2.7,46,18,4,View Bio
11,"Neckopulos, Alex 11 Neckopulos, Alex",17,17.0,384,22.6,54,110,0.491,1,2,0.5,8,15,0.533,117,6.9,34,89,123,7.2,35,16,0.9,23,15,6,View Bio
20,"Stariha, Lydia 20 Stariha, Lydia",17,17.0,481,28.3,27,107,0.252,4,33,0.121,44,66,0.667,102,6.0,16,42,58,3.4,32,24,1.4,29,14,2,View Bio
12,"Lopez, Haley 12 Lopez, Haley",17,7.0,406,23.9,23,91,0.253,12,50,0.24,13,17,0.765,71,4.2,5,41,46,2.7,24,31,1.8,26,13,8,View Bio
21,"Norton, Kaitlyn 21 Norton, Kaitlyn",17,10.0,304,17.9,23,74,0.311,13,50,0.26,3,6,0.5,62,3.6,14,21,35,2.1,24,12,0.7,31,9,4,View Bio
23,"Greenberg, Leah 23 Greenberg, Leah",17,0.0,207,12.2,19,82,0.232,17,75,0.227,4,4,1.0,59,3.5,3,11,14,0.8,28,10,0.6,11,8,1,View Bio
44,"Guzzo, Daria 44 Guzzo, Daria",17,0.0,222,13.1,11,42,0.262,1,1,1.0,13,21,0.619,36,2.1,12,31,43,2.5,32,5,0.3,21,5,11,View Bio
15,"Keller, Ariel 15 Keller, Ariel",17,0.0,214,12.6,15,32,0.469,2,7,0.286,6,16,0.375,38,2.2,14,47,61,3.6,36,14,0.8,19,15,1,View Bio
24,"Giles, Margaret 24 Giles, Margaret",11,0.0,65,5.9,5,10,0.5,0,0,0.0,6,8,0.75,16,1.5,6,16,22,2.0,7,0,0.0,3,0,7,View Bio
13,"Kessel, Hanna 13 Kessel, Hanna",8,0.0,41,5.1,3,9,0.333,0,2,0.0,3,4,0.75,9,1.1,6,4,10,1.3,4,0,0.0,2,0,0,View Bio
14,"Kasprak, Regan 14 Kasprak, Regan",9,0.0,39,4.3,1,12,0.083,0,3,0.0,0,0,0.0,2,0.2,2,4,6,0.7,1,1,0.1,2,1,1,View Bio
TM,Team  TM Team,17,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,34,66,100,5.9,0,0,0.0,8,0,0,
,Total,17,,3400,200.0,320,950,0.337,77,327,0.235,211,304,0.694,928,54.59,195,471,666,39.2,291,194,11.4,258,112,63,
,Opponents,17,,3400,200.0,322,923,0.349,52,232,0.224,182,270,0.674,878,51.65,170,480,650,38.2,321,192,11.3,278,114,57,
