Opponent,Date,Score,MAR,FG,FG PCT,3FG,3FG PCT,FT,FT PCT,RB,AST,TO,BLK,STL,PF
Central College,11/15/16,39-75,-36,13-62/23-57,.210/.404,6-27/6-17,.222/.353,7-8/23-27,.875-.852,36/50 -14,11/14,17/13,6/3,6/9,19/10
Macalester College,11/19/16,68-54,14,21-54/20-55,.389/.364,5-14/4-12,.357/.333,21-34/10-16,.618-.625,42/38 4,15/13,18/20,1/4,6/6,17/28
North Central Univ.,11/22/16,73-56,17,30-64/22-52,.469/.423,6-18/4-13,.333/.308,7-14/8-13,.500-.615,43/27 16,25/8,14/19,1/0,10/3,17/12
Iowa Wesleyan,11/26/16,38-66,-28,13-55/25-45,.236/.556,6-20/5-9,.300/.556,6-13/11-14,.462-.786,24/37 -13,12/16,18/23,3/4,7/10,16/12
Beloit College,12/02/16,51-36,15,18-56/17-48,.321/.354,4-21/0-6,.190/.000,11-19/2-4,.579-.500,34/42 -8,9/7,14/27,3/1,9/4,16/21
Lake Forest College,12/03/16,54-37,17,19-69/16-62,.275/.258,6-20/0-10,.300/.000,10-14/5-7,.714-.714,51/47 4,12/9,18/22,8/13,9/6,17/17
Cornell College,12/07/16,39-56,-17,14-59/22-48,.237/.458,4-23/6-14,.174/.429,7-9/6-8,.778-.750,37/36 1,7/18,12/13,3/3,4/6,11/14
Lawrence University,12/10/16,65-44,21,20-57/14-51,.351/.275,6-19/1-16,.316/.063,19-26/15-20,.731-.750,49/32 17,12/8,15/14,5/1,5/6,19/23
Buena Vista,12/29/16,62-69,-7,22-51/27-65,.431/.415,6-16/6-20,.375/.300,12-18/9-20,.667-.450,39/41 -2,17/19,24/17,3/4,4/13,19/20
Ripon College,01/04/17,64-69,-5,19-59/29-66,.322/.439,5-17/3-8,.294/.375,21-25/8-13,.840-.615,38/43 -5,7/22,21/19,2/9,7/13,18/22
St. Norbert College,01/06/17,35-54,-19,11-43/19-50,.256/.380,1-9/4-15,.111/.267,12-18/12-17,.667-.706,28/40 -12,6/10,19/19,2/2,8/11,19/17
Lake Forest College,01/13/17,50-46,4,17-57/16-62,.298/.258,5-24/4-14,.208/.286,11-16/10-14,.688-.714,42/46 -4,11/10,10/11,2/4,6/7,14/17
Beloit College,01/14/17,59-43,16,25-50/12-41,.500/.293,3-12/2-10,.250/.200,6-9/17-29,.667-.586,33/28 5,11/6,13/16,2/0,7/4,25/15
Monmouth College,01/18/17,64-42,22,19-63/15-56,.302/.268,9-33/2-18,.273/.111,17-22/10-13,.773-.769,49/42 7,13/4,13/18,6/1,6/8,12/20
Ripon,01/21/17,31-65,-34,9-49/26-58,.184/.448,1-14/1-9,.071/.111,12-18/12-21,.667-.571,33/46 -13,6/14,19/13,4/10,5/5,18/22
Cornell College,01/25/17,52-59,-7,17-50/22-63,.340/.349,6-16/5-16,.375/.313,12-16/10-16,.750-.625,38/36 2,13/15,17/9,5/4,4/11,18/19
Lawrence,01/28/17,74-51,23,29-69/16-63,.420/.254,6-31/3-10,.194/.300,10-13/16-21,.769-.762,49/42 7,20/10,10/12,5/0,6/2,21/15
Monmouth (IL),01/31/17,55-46,9,16-49/17-55,.327/.309,6-23/4-22,.261/.182,17-24/8-12,.708-.667,45/31 14,12/13,20/16,4/1,11/9,10/18
Illinois College,02/04/17,75-65,10,28-53/25-62,.528/.403,6-15/4-17,.400/.235,13-21/11-17,.619-.647,33/35 -2,18/13,14/17,4/1,7/5,17/21
Knox,02/08/17,57-53,4,22-59/21-45,.373/.467,4-22/3-14,.182/.214,9-16/8-13,.563-.615,35/32 3,16/12,15/20,1/0,7/7,18/21
Saint Norbert,02/11/17,44-59,-15,16-48/17-44,.333/.386,2-11/4-15,.182/.267,10-19/21-27,.526-.778,30/37 -7,8/10,17/18,3/3,5/6,20/20
Knox College,02/14/17,59-53,6,21-60/18-49,.350/.367,3-17/6-18,.176/.333,14-19/11-18,.737-.611,42/35 7,13/11,11/14,4/4,6/4,18/19
Cornell College,02/24/17,47-62,-15,14-49/20-49,.286/.408,5-20/4-14,.250/.286,14-19/18-27,.737-.667,27/42 -15,8/13,19/20,1/5,12/12,23/18
