Name,GP,MIN,MIN/G
"#10 Gatton, Sophia",23,710,30.9
"#42 Morrissey, Kayla",23,697,30.3
"#20 Stariha, Lydia",23,652,28.3
"#11 Neckopulos, Alex",23,532,23.1
"#12 Lopez, Haley",23,527,22.9
"#21 Norton, Kaitlyn",23,421,18.3
"#44 Guzzo, Daria",23,315,13.7
"#15 Keller, Ariel",23,280,12.2
"#23 Greenberg, Leah",23,273,11.9
"#24 Giles, Margaret",15,81,5.4
"#13 Kessel, Hanna",12,57,4.8
"#14 Kasprak, Regan",12,56,4.7
