Name,GP,Pts,Pts/G
"#42 Morrissey, Kayla",23,384,16.7
"#10 Gatton, Sophia",23,179,7.8
"#11 Neckopulos, Alex",23,158,6.9
"#20 Stariha, Lydia",23,142,6.2
"#21 Norton, Kaitlyn",23,94,4.1
"#12 Lopez, Haley",23,86,3.7
"#23 Greenberg, Leah",23,83,3.6
"#44 Guzzo, Daria",23,54,2.3
"#15 Keller, Ariel",23,44,1.9
"#24 Giles, Margaret",15,18,1.2
"#13 Kessel, Hanna",12,11,0.9
"#14 Kasprak, Regan",12,2,0.2
