#,Player,GP,GS,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0
#,Player,GP,GS,MIN,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG
42.0,"Morrissey, Kayla 42 Morrissey, Kayla",23,23.0,697,117,273,0.429,12,40,0.3,138,175,0.789,384,16.7
10.0,"Gatton, Sophia 10 Gatton, Sophia",23,23.0,710,66,241,0.274,26,98,0.265,21,44,0.477,179,7.8
11.0,"Neckopulos, Alex 11 Neckopulos, Alex",23,23.0,532,74,159,0.465,1,4,0.25,9,18,0.5,158,6.9
20.0,"Stariha, Lydia 20 Stariha, Lydia",23,23.0,652,42,146,0.288,10,51,0.196,48,73,0.658,142,6.2
21.0,"Norton, Kaitlyn 21 Norton, Kaitlyn",23,15.0,421,34,105,0.324,19,65,0.292,7,14,0.5,94,4.1
12.0,"Lopez, Haley 12 Lopez, Haley",23,8.0,527,27,113,0.239,14,63,0.222,18,23,0.783,86,3.7
23.0,"Greenberg, Leah 23 Greenberg, Leah",23,0.0,273,27,107,0.252,25,99,0.253,4,6,0.667,83,3.6
44.0,"Guzzo, Daria 44 Guzzo, Daria",23,0.0,315,18,55,0.327,1,1,1.0,17,27,0.63,54,2.3
24.0,"Giles, Margaret 24 Giles, Margaret",15,0.0,81,6,13,0.462,0,0,0.0,6,8,0.75,18,1.2
15.0,"Keller, Ariel 15 Keller, Ariel",23,0.0,280,17,41,0.415,3,11,0.273,7,18,0.389,44,1.9
14.0,"Kasprak, Regan 14 Kasprak, Regan",12,0.0,56,1,19,0.053,0,7,0.0,0,0,0.0,2,0.2
13.0,"Kessel, Hanna 13 Kessel, Hanna",12,0.0,57,4,13,0.308,0,3,0.0,3,4,0.75,11,0.9
,Total,23,,4601,433,1285,0.337,111,442,0.251,278,410,0.678,1255,54.57
,Opponents,23,,4600,459,1246,0.368,81,317,0.256,261,387,0.674,1260,54.78
