Statistic,High,Player,Opponent
POINTS,26,Kayla Morrissey,Knox College (02/14/17)
FIELD GOALS MADE,9,Kayla Morrissey,Beloit College (01/14/17)
FIELD GOAL ATTEMPTS,18,Kayla Morrissey,Lake Forest College (12/03/16)
3 PT FIELD GOALS MADE,3,Kaitlyn Norton; Sophia Gatton; Leah Greenberg; Haley Lopez,Lake Forest College (12/03/16); Cornell College (12/07/16); Lawrence (01/28/17); Monmouth (IL) (01/31/17); Knox (02/08/17); Buena Vista (12/29/16); Illinois College (02/04/17)
3 PT FG ATTEMPTS,8,Sophia Gatton; Leah Greenberg,Cornell College (12/07/16); Lawrence (01/28/17); Knox (02/08/17); Lake Forest College (01/13/17); Monmouth College (01/18/17)
FREE THROWS MADE,14,Kayla Morrissey,Monmouth (IL) (01/31/17)
FREE THROW ATTEMPTS,19,Kayla Morrissey,Macalester College (11/19/16)
REBOUNDS,14,Kayla Morrissey; Alex Neckopulos,Lake Forest College (12/03/16); Cornell College (01/25/17)
ASSISTS,9,Sophia Gatton,North Central Univ. (11/22/16)
STEALS,4,Sophia Gatton,North Central Univ. (11/22/16)
BLOCKED SHOTS,3,Haley Lopez; Kayla Morrissey; Margaret Giles,Lake Forest College (12/03/16); Lawrence University (12/10/16); Monmouth College (01/18/17)
TURNOVERS,8,Kayla Morrissey,Buena Vista (12/29/16)
FOULS,4,Kaitlyn Norton; Sophia Gatton; Alex Neckopulos; Leah Greenberg; Lydia Stariha; Ariel Keller; Daria Guzzo,Central College (11/15/16); Beloit College (12/02/16); Lake Forest College (12/03/16); Lawrence (01/28/17); Saint Norbert (02/11/17); Iowa Wesleyan (11/26/16); Lawrence University (12/10/16); Buena Vista (12/29/16); Ripon College (01/04/17); St. Norbert College (01/06/17); Lake Forest College (01/13/17); Beloit College (01/14/17); Cornell College (01/25/17); Cornell College (02/24/17)
